"Step","DDPG_short_test_track_LIDAR - loss_actor","DDPG_short_test_track_LIDAR - loss_actor__MIN","DDPG_short_test_track_LIDAR - loss_actor__MAX"
"0","-11.9581391001","-11.9581391001","-11.9581391001"
"1","-11.6724311447","-11.6724311447","-11.6724311447"
"2","-11.2118796873","-11.2118796873","-11.2118796873"
"3","-11.0651612091","-11.0651612091","-11.0651612091"
"4","-10.8534301662","-10.8534301662","-10.8534301662"
"5","-10.6277064562","-10.6277064562","-10.6277064562"
"6","-10.4310503483","-10.4310503483","-10.4310503483"
"7","-10.20298913","-10.20298913","-10.20298913"
"8","-10.018549757","-10.018549757","-10.018549757"
"9","-9.954942503","-9.954942503","-9.954942503"
"10","-9.8926411533","-9.8926411533","-9.8926411533"
"11","-9.7774777222","-9.7774777222","-9.7774777222"
"12","-9.4453757334","-9.4453757334","-9.4453757334"
"13","-9.3625791121","-9.3625791121","-9.3625791121"
"14","-9.3589141607","-9.3589141607","-9.3589141607"
"15","-9.2301015139","-9.2301015139","-9.2301015139"
"16","-8.9267499447","-8.9267499447","-8.9267499447"
"17","-8.7877950811","-8.7877950811","-8.7877950811"
"18","-8.4772054434","-8.4772054434","-8.4772054434"
"19","-8.3499709487","-8.3499709487","-8.3499709487"
"20","-8.182490623","-8.182490623","-8.182490623"
"21","-8.0127223492","-8.0127223492","-8.0127223492"
"22","-7.8736331844","-7.8736331844","-7.8736331844"
"23","-7.5190903139","-7.5190903139","-7.5190903139"
"24","-7.3861045504","-7.3861045504","-7.3861045504"
"25","-7.2637663603","-7.2637663603","-7.2637663603"
"26","-7.0824413633","-7.0824413633","-7.0824413633"
"27","-6.8834237814","-6.8834237814","-6.8834237814"
"28","-6.7670391941","-6.7670391941","-6.7670391941"
"29","-6.5234418821","-6.5234418821","-6.5234418821"
"30","-6.3383775592","-6.3383775592","-6.3383775592"
"31","-6.1725371909","-6.1725371909","-6.1725371909"
"32","-6.0411779308","-6.0411779308","-6.0411779308"
"33","-5.8530186844","-5.8530186844","-5.8530186844"
"34","-5.7518297458","-5.7518297458","-5.7518297458"
"35","-5.546856823","-5.546856823","-5.546856823"
"36","-5.4423346424","-5.4423346424","-5.4423346424"
"37","-5.2663637447","-5.2663637447","-5.2663637447"
"38","-5.1489104772","-5.1489104772","-5.1489104772"
"39","-4.9836998296","-4.9836998296","-4.9836998296"
"40","-4.9141156912","-4.9141156912","-4.9141156912"
"41","-4.7384819889","-4.7384819889","-4.7384819889"
"42","-4.6255145562","-4.6255145562","-4.6255145562"
"43","-4.6783988976","-4.6783988976","-4.6783988976"
"44","-4.5536659288","-4.5536659288","-4.5536659288"
"45","-4.4702587724","-4.4702587724","-4.4702587724"
"46","-4.4106848538","-4.4106848538","-4.4106848538"
"47","-4.3205319846","-4.3205319846","-4.3205319846"
"48","-4.198649416","-4.198649416","-4.198649416"
"49","-4.1377207458","-4.1377207458","-4.1377207458"
"50","-4.0429092193","-4.0429092193","-4.0429092193"
"51","-3.9961696172","-3.9961696172","-3.9961696172"
"52","-3.9744980884","-3.9744980884","-3.9744980884"
"53","-3.9663517833","-3.9663517833","-3.9663517833"
"54","-3.8552155042","-3.8552155042","-3.8552155042"
"55","-3.8186285973","-3.8186285973","-3.8186285973"
"56","-3.7524219871","-3.7524219871","-3.7524219871"
"57","-3.6839628005","-3.6839628005","-3.6839628005"
"58","-3.6142706752","-3.6142706752","-3.6142706752"
"59","-3.5890790081","-3.5890790081","-3.5890790081"
"60","-3.5106343567","-3.5106343567","-3.5106343567"
"61","-3.4972468626","-3.4972468626","-3.4972468626"
"62","-3.4411203003","-3.4411203003","-3.4411203003"
"63","-3.3713166082","-3.3713166082","-3.3713166082"
"64","-3.3432104039","-3.3432104039","-3.3432104039"
"65","-3.3291541624","-3.3291541624","-3.3291541624"
"66","-3.27931844","-3.27931844","-3.27931844"
"67","-3.2025987315","-3.2025987315","-3.2025987315"
"68","-3.1486003399","-3.1486003399","-3.1486003399"
"69","-3.1205963159","-3.1205963159","-3.1205963159"
"70","-3.0918249524","-3.0918249524","-3.0918249524"
"71","-3.0556744683","-3.0556744683","-3.0556744683"
"72","-2.9877221203","-2.9877221203","-2.9877221203"
"73","-2.9228264642","-2.9228264642","-2.9228264642"
"74","-2.8806359696","-2.8806359696","-2.8806359696"
"75","-2.8372350967","-2.8372350967","-2.8372350967"
"76","-2.786634053","-2.786634053","-2.786634053"
"77","-2.7713127172","-2.7713127172","-2.7713127172"
"78","-2.7458153355","-2.7458153355","-2.7458153355"
"79","-2.7221292424","-2.7221292424","-2.7221292424"
"80","-2.6551736593","-2.6551736593","-2.6551736593"
"81","-2.6776889837","-2.6776889837","-2.6776889837"
"82","-2.6517842329","-2.6517842329","-2.6517842329"
"83","-2.6037114763","-2.6037114763","-2.6037114763"
"84","-2.5816501617","-2.5816501617","-2.5816501617"
"85","-2.5694236958","-2.5694236958","-2.5694236958"
