"Step","DDPG_short_test_track_LIDAR - return_train","DDPG_short_test_track_LIDAR - return_train__MIN","DDPG_short_test_track_LIDAR - return_train__MAX"
"0","0.2299999949","0.2299999949","0.2299999949"
"1","0.2299999949","0.2299999949","0.2299999949"
"2","0","0","0"
"3","0","0","0"
"4","0","0","0"
"5","0","0","0"
"6","0","0","0"
"7","0","0","0"
"8","0","0","0"
"9","23.599999994","23.599999994","23.599999994"
"10","0.0699999984","0.0699999984","0.0699999984"
"11","0.0699999984","0.0699999984","0.0699999984"
"12","0","0","0"
"13","0","0","0"
"14","0","0","0"
"15","0","0","0"
"16","0","0","0"
"17","0","0","0"
"18","0","0","0"
"19","0","0","0"
"20","0","0","0"
"21","0","0","0"
"22","0","0","0"
"23","0","0","0"
"24","0","0","0"
"25","0.1399999969","0.1399999969","0.1399999969"
"26","0.1399999969","0.1399999969","0.1399999969"
"27","0","0","0"
"28","0","0","0"
"29","0","0","0"
"30","0","0","0"
"31","0","0","0"
"32","0","0","0"
"33","0","0","0"
"34","0","0","0"
"35","0","0","0"
"36","0","0","0"
"37","0","0","0"
"38","0","0","0"
"39","0","0","0"
"40","0","0","0"
"41","0","0","0"
"42","0","0","0"
"43","0.8099999819","0.8099999819","0.8099999819"
"44","0.8099999819","0.8099999819","0.8099999819"
"45","0","0","0"
"46","0","0","0"
"47","0","0","0"
"48","0","0","0"
"49","0","0","0"
"50","0","0","0"
"51","0","0","0"
"52","0","0","0"
"53","0","0","0"
"54","0","0","0"
"55","0","0","0"
"56","0","0","0"
"57","0","0","0"
"58","0","0","0"
"59","0","0","0"
"60","0.0299999993","0.0299999993","0.0299999993"
"61","0.0299999993","0.0299999993","0.0299999993"
"62","0.0299999993","0.0299999993","0.0299999993"
"63","0","0","0"
"64","0","0","0"
"65","0.1899999958","0.1899999958","0.1899999958"
"66","0.1899999958","0.1899999958","0.1899999958"
"67","0","0","0"
"68","0","0","0"
"69","0","0","0"
"70","0","0","0"
"71","0","0","0"
"72","0","0","0"
"73","0","0","0"
"74","0","0","0"
"75","0","0","0"
"76","0","0","0"
"77","0","0","0"
"78","0.1199999973","0.1199999973","0.1199999973"
"79","0.1199999973","0.1199999973","0.1199999973"
"80","0.0399999991","0.0399999991","0.0399999991"
"81","0.0399999991","0.0399999991","0.0399999991"
"82","0.1699999962","0.1699999962","0.1699999962"
"83","0.1699999962","0.1699999962","0.1699999962"
"84","0","0","0"
"85","0","0","0"
"86","0","0","0"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","0","0"
"94","0","0","0"
"95","0","0","0"
"96","0","0","0"
"97","0","0","0"
"98","0","0","0"
"99","0","0","0"
"100","0","0","0"
"101","0","0","0"
"102","0","0","0"
"103","0","0","0"
"104","0","0","0"
"105","0.0499999989","0.0499999989","0.0499999989"
"106","0.0499999989","0.0499999989","0.0499999989"
"107","0","0","0"
"108","0","0","0"
"109","0.0599999987","0.0599999987","0.0599999987"
"110","0.0599999987","0.0599999987","0.0599999987"
"111","0.1199999973","0.1199999973","0.1199999973"
"112","0.1199999973","0.1199999973","0.1199999973"
"113","0.1085999976","0.1085999976","0.1085999976"
"114","0","0","0"
"115","0","0","0"
"116","0","0","0"
"117","0","0","0"
"118","0.00175","0.00175","0.00175"
"119","0.0099999998","0.0099999998","0.0099999998"
"120","0.0046499999","0.0046499999","0.0046499999"
"121","0","0","0"
"122","0.0357999992","0.0357999992","0.0357999992"
"123","0.0297999993","0.0297999993","0.0297999993"
"124","0","0","0"
"125","0","0","0"
"126","0","0","0"
"127","0.0399999991","0.0399999991","0.0399999991"
"128","0.0265999994","0.0265999994","0.0265999994"
"129","0","0","0"
"130","0.0694999984","0.0694999984","0.0694999984"
"131","0.0944999979","0.0944999979","0.0944999979"
"132","0","0","0"
"133","0","0","0"
"134","0","0","0"
"135","0","0","0"
"136","0","0","0"
"137","0","0","0"
"138","0","0","0"
"139","0","0","0"
"140","0","0","0"
"141","0","0","0"
"142","0","0","0"
"143","0","0","0"
"144","0","0","0"
"145","0","0","0"
"146","0","0","0"
"147","0","0","0"
"148","0","0","0"
"149","0.0187499997","0.0187499997","0.0187499997"
"150","1.2499999814","1.2499999814","1.2499999814"
"151","6.8187499659","6.8187499659","6.8187499659"
"152","16.09999994","16.09999994","16.09999994"
"153","16.09999994","16.09999994","16.09999994"
"154","16.09999994","16.09999994","16.09999994"
"155","16.09999994","16.09999994","16.09999994"
"156","2.7199999709","2.7199999709","2.7199999709"
"157","2.7199999709","2.7199999709","2.7199999709"
"158","4.3299999665","4.3299999665","4.3299999665"
"159","4.3299999665","4.3299999665","4.3299999665"
"160","2.0599999819","2.0599999819","2.0599999819"
