"Step","DDPG_short_test_track_pixel - loss_actor","DDPG_short_test_track_pixel - loss_actor__MIN","DDPG_short_test_track_pixel - loss_actor__MAX"
"0","0.0263120651","0.0263120651","0.0263120651"
"1","0.0208568233","0.0208568233","0.0208568233"
"2","0.0144808506","0.0144808506","0.0144808506"
"3","0.0083946092","0.0083946092","0.0083946092"
"4","-0.0095009129","-0.0095009129","-0.0095009129"
"5","-0.0207099344","-0.0207099344","-0.0207099344"
"6","-0.0390491304","-0.0390491304","-0.0390491304"
"7","-0.0462011822","-0.0462011822","-0.0462011822"
"8","-0.0598450525","-0.0598450525","-0.0598450525"
"9","-0.0646168439","-0.0646168439","-0.0646168439"
"10","-0.0738901354","-0.0738901354","-0.0738901354"
"11","-0.0797917076","-0.0797917076","-0.0797917076"
"12","-0.0894907881","-0.0894907881","-0.0894907881"
"13","-0.0949143858","-0.0949143858","-0.0949143858"
"14","-0.1028839973","-0.1028839973","-0.1028839973"
"15","-0.1165157051","-0.1165157051","-0.1165157051"
"16","-0.1199904942","-0.1199904942","-0.1199904942"
"17","-0.1212674783","-0.1212674783","-0.1212674783"
"18","-0.1335642666","-0.1335642666","-0.1335642666"
"19","-0.1412712438","-0.1412712438","-0.1412712438"
"20","-0.1419629899","-0.1419629899","-0.1419629899"
"21","-0.1533657597","-0.1533657597","-0.1533657597"
"22","-0.1611253972","-0.1611253972","-0.1611253972"
"23","-0.1650286886","-0.1650286886","-0.1650286886"
"24","-0.1683848971","-0.1683848971","-0.1683848971"
"25","-0.1692765499","-0.1692765499","-0.1692765499"
"26","-0.1743681696","-0.1743681696","-0.1743681696"
"27","-0.1831376532","-0.1831376532","-0.1831376532"
"28","-0.1853105923","-0.1853105923","-0.1853105923"
"29","-0.1894669015","-0.1894669015","-0.1894669015"
"30","-0.1952486101","-0.1952486101","-0.1952486101"
"31","-0.1938855045","-0.1938855045","-0.1938855045"
"32","-0.2010372323","-0.2010372323","-0.2010372323"
"33","-0.2041552136","-0.2041552136","-0.2041552136"
"34","-0.205648277","-0.205648277","-0.205648277"
"35","-0.2148444612","-0.2148444612","-0.2148444612"
"36","-0.2218738207","-0.2218738207","-0.2218738207"
"37","-0.2282861832","-0.2282861832","-0.2282861832"
"38","-0.2360233111","-0.2360233111","-0.2360233111"
"39","-0.2388044742","-0.2388044742","-0.2388044742"
"40","-0.2467375699","-0.2467375699","-0.2467375699"
"41","-0.2490883146","-0.2490883146","-0.2490883146"
"42","-0.2464719631","-0.2464719631","-0.2464719631"
"43","-0.2465491141","-0.2465491141","-0.2465491141"
"44","-0.2542387268","-0.2542387268","-0.2542387268"
"45","-0.2547927937","-0.2547927937","-0.2547927937"
"46","-0.2506823269","-0.2506823269","-0.2506823269"
"47","-0.2520949894","-0.2520949894","-0.2520949894"
"48","-0.2542300684","-0.2542300684","-0.2542300684"
"49","-0.2487337139","-0.2487337139","-0.2487337139"
"50","-0.2576489784","-0.2576489784","-0.2576489784"
"51","-0.2571997014","-0.2571997014","-0.2571997014"
"52","-0.2581868875","-0.2581868875","-0.2581868875"
"53","-0.2629028927","-0.2629028927","-0.2629028927"
