"Step","DDPG_short_test_track_pixel - loss_critic","DDPG_short_test_track_pixel - loss_critic__MIN","DDPG_short_test_track_pixel - loss_critic__MAX"
"0","0.0000537525","0.0000537525","0.0000537525"
"1","0.0000066336","0.0000066336","0.0000066336"
"2","0.0000069982","0.0000069982","0.0000069982"
"3","0.0000058962","0.0000058962","0.0000058962"
"4","0.0000318789","0.0000318789","0.0000318789"
"5","0.0000122922","0.0000122922","0.0000122922"
"6","0.0000242163","0.0000242163","0.0000242163"
"7","0.0000138071","0.0000138071","0.0000138071"
"8","0.000025096","0.000025096","0.000025096"
"9","0.0000561392","0.0000561392","0.0000561392"
"10","0.0000430577","0.0000430577","0.0000430577"
"11","0.0000206341","0.0000206341","0.0000206341"
"12","0.0000330106","0.0000330106","0.0000330106"
"13","0.0000436737","0.0000436737","0.0000436737"
"14","0.0000761687","0.0000761687","0.0000761687"
"15","0.0000835691","0.0000835691","0.0000835691"
"16","0.0000615615","0.0000615615","0.0000615615"
"17","0.0000560062","0.0000560062","0.0000560062"
"18","0.0000754226","0.0000754226","0.0000754226"
"19","0.0001156238","0.0001156238","0.0001156238"
"20","0.0000783822","0.0000783822","0.0000783822"
"21","0.0001097228","0.0001097228","0.0001097228"
"22","0.0000859905","0.0000859905","0.0000859905"
"23","0.0000984024","0.0000984024","0.0000984024"
"24","0.0001037144","0.0001037144","0.0001037144"
"25","0.0000870963","0.0000870963","0.0000870963"
"26","0.0000933487","0.0000933487","0.0000933487"
"27","0.0001864824","0.0001864824","0.0001864824"
"28","0.0001076261","0.0001076261","0.0001076261"
"29","0.0001529241","0.0001529241","0.0001529241"
"30","0.0001197766","0.0001197766","0.0001197766"
"31","0.0001179665","0.0001179665","0.0001179665"
"32","0.0001928667","0.0001928667","0.0001928667"
"33","0.0001450511","0.0001450511","0.0001450511"
"34","0.0002041694","0.0002041694","0.0002041694"
"35","0.0001567091","0.0001567091","0.0001567091"
"36","0.0002121502","0.0002121502","0.0002121502"
"37","0.0002241984","0.0002241984","0.0002241984"
"38","0.0002506846","0.0002506846","0.0002506846"
"39","0.0002678519","0.0002678519","0.0002678519"
"40","0.0002059089","0.0002059089","0.0002059089"
"41","0.0002389602","0.0002389602","0.0002389602"
"42","0.0002212192","0.0002212192","0.0002212192"
"43","0.0002270276","0.0002270276","0.0002270276"
"44","0.0002979728","0.0002979728","0.0002979728"
"45","0.0002136513","0.0002136513","0.0002136513"
"46","0.0002048281","0.0002048281","0.0002048281"
"47","0.0002063317","0.0002063317","0.0002063317"
"48","0.0002492284","0.0002492284","0.0002492284"
"49","0.0002257241","0.0002257241","0.0002257241"
"50","0.0003293265","0.0003293265","0.0003293265"
"51","0.0002775631","0.0002775631","0.0002775631"
"52","0.0003712568","0.0003712568","0.0003712568"
"53","0.0002945708","0.0002945708","0.0002945708"
"54","0.000238545","0.000238545","0.000238545"
"55","0.0002661441","0.0002661441","0.0002661441"
"56","0.0003041404","0.0003041404","0.0003041404"
"57","0.0002828366","0.0002828366","0.0002828366"
"58","0.0003343123","0.0003343123","0.0003343123"
"59","0.0002938467","0.0002938467","0.0002938467"
"60","0.0003193622","0.0003193622","0.0003193622"
"61","0.0002848004","0.0002848004","0.0002848004"
