"Step","DDPG_short_test_track_pixel - return_train","DDPG_short_test_track_pixel - return_train__MIN","DDPG_short_test_track_pixel - return_train__MAX"
"0","0","0","0"
"1","0","0","0"
"2","0.669999985","0.669999985","0.669999985"
"3","0.3799999915","0.3799999915","0.3799999915"
"4","7.239999989","7.239999989","7.239999989"
"5","2.3899999466","2.3899999466","2.3899999466"
"6","2.8799999878","2.8799999878","2.8799999878"
"7","0.2599999942","0.2599999942","0.2599999942"
"8","0.7299999837","0.7299999837","0.7299999837"
"9","0","0","0"
"10","0","0","0"
"11","1.2899999712","1.2899999712","1.2899999712"
"12","1.4999999665","1.4999999665","1.4999999665"
"13","0.0499999989","0.0499999989","0.0499999989"
"14","0.0499999989","0.0499999989","0.0499999989"
"15","1.8499999586","1.8499999586","1.8499999586"
"16","0.0099999998","0.0099999998","0.0099999998"
"17","0.0799999982","0.0799999982","0.0799999982"
"18","1.6699999627","1.6699999627","1.6699999627"
"19","1.7099999767","1.7099999767","1.7099999767"
"20","0.1699999962","0.1699999962","0.1699999962"
"21","6.5199999306","6.5199999306","6.5199999306"
"22","0.579999987","0.579999987","0.579999987"
"23","0.6799999848","0.6799999848","0.6799999848"
"24","0","0","0"
"25","0","0","0"
"26","1.0899999794","1.0899999794","1.0899999794"
"27","0.1999999955","0.1999999955","0.1999999955"
"28","0.1999999955","0.1999999955","0.1999999955"
"29","1.2599999718","1.2599999718","1.2599999718"
"30","2.3799999617","2.3799999617","2.3799999617"
"31","0","0","0"
"32","0.6999999844","0.6999999844","0.6999999844"
"33","0.4699999895","0.4699999895","0.4699999895"
"34","1.7699999623","1.7699999623","1.7699999623"
"35","0","0","0"
"36","4.9499999844","4.9499999844","4.9499999844"
"37","1.4999999665","1.4999999665","1.4999999665"
"38","2.8499999363","2.8499999363","2.8499999363"
"39","0.5399999879","0.5399999879","0.5399999879"
"40","0.8999999799","0.8999999799","0.8999999799"
"41","1.0899999756","1.0899999756","1.0899999756"
"42","0.7199999839","0.7199999839","0.7199999839"
"43","0.2399999946","0.2399999946","0.2399999946"
"44","2.4199999459","2.4199999459","2.4199999459"
"45","0","0","0"
"46","0.1599999964","0.1599999964","0.1599999964"
"47","0","0","0"
"48","2.7199999765","2.7199999765","2.7199999765"
"49","0","0","0"
"50","0","0","0"
"51","0.359999992","0.359999992","0.359999992"
"52","0.5299999882","0.5299999882","0.5299999882"
"53","0","0","0"
"54","1.1699999738","1.1699999738","1.1699999738"
"55","0.0299999993","0.0299999993","0.0299999993"
"56","0","0","0"
"57","0.1099999975","0.1099999975","0.1099999975"
"58","1.8899999578","1.8899999578","1.8899999578"
"59","1.3199999817","1.3199999817","1.3199999817"
"60","0.1599999964","0.1599999964","0.1599999964"
"61","0.089999998","0.089999998","0.089999998"
"62","0.0299999993","0.0299999993","0.0299999993"
"63","2.7299999874","2.7299999874","2.7299999874"
"64","1.3399999719","1.3399999719","1.3399999719"
"65","0.0399999991","0.0399999991","0.0399999991"
"66","1.7199999616","1.7199999616","1.7199999616"
"67","0","0","0"
"68","0.0299999993","0.0299999993","0.0299999993"
"69","0.2999999933","0.2999999933","0.2999999933"
"70","0.179999996","0.179999996","0.179999996"
"71","0.7399999835","0.7399999835","0.7399999835"
"72","0.5199999884","0.5199999884","0.5199999884"
"73","0","0","0"
"74","0","0","0"
"75","2.129999971","2.129999971","2.129999971"
"76","2.1899999715","2.1899999715","2.1899999715"
"77","0.1299999971","0.1299999971","0.1299999971"
"78","0.0399999991","0.0399999991","0.0399999991"
"79","0","0","0"
"80","2.7499999534","2.7499999534","2.7499999534"
"81","1.1299999785","1.1299999785","1.1299999785"
"82","0.3199999928","0.3199999928","0.3199999928"
"83","0.8399999812","0.8399999812","0.8399999812"
