"Step","DDPG_short_test_track_LIDAR - loss_critic","DDPG_short_test_track_LIDAR - loss_critic__MIN","DDPG_short_test_track_LIDAR - loss_critic__MAX"
"0","7.2912535226","7.2912535226","7.2912535226"
"1","2.3127001679","2.3127001679","2.3127001679"
"2","2.5879704028","2.5879704028","2.5879704028"
"3","2.8195362115","2.8195362115","2.8195362115"
"4","2.6411405057","2.6411405057","2.6411405057"
"5","2.6329342705","2.6329342705","2.6329342705"
"6","2.6806667066","2.6806667066","2.6806667066"
"7","2.739798407","2.739798407","2.739798407"
"8","2.5810725403","2.5810725403","2.5810725403"
"9","2.4578739893","2.4578739893","2.4578739893"
"10","2.2424015194","2.2424015194","2.2424015194"
"11","1.9909892172","1.9909892172","1.9909892172"
"12","1.9521220037","1.9521220037","1.9521220037"
"13","1.730316993","1.730316993","1.730316993"
"14","1.6427208138","1.6427208138","1.6427208138"
"15","1.4294211397","1.4294211397","1.4294211397"
"16","1.4994115451","1.4994115451","1.4994115451"
"17","1.2313733089","1.2313733089","1.2313733089"
"18","1.227399154","1.227399154","1.227399154"
"19","1.0307204357","1.0307204357","1.0307204357"
"20","0.9770785832","0.9770785832","0.9770785832"
"21","0.981915641","0.981915641","0.981915641"
"22","0.8390250644","0.8390250644","0.8390250644"
"23","0.9966850579","0.9966850579","0.9966850579"
"24","0.8098486608","0.8098486608","0.8098486608"
"25","0.9329405065","0.9329405065","0.9329405065"
"26","0.8450426479","0.8450426479","0.8450426479"
"27","1.0391915904","1.0391915904","1.0391915904"
"28","0.7844663858","0.7844663858","0.7844663858"
"29","0.8175647222","0.8175647222","0.8175647222"
"30","0.7116776197","0.7116776197","0.7116776197"
"31","0.7976283132","0.7976283132","0.7976283132"
"32","0.6691479726","0.6691479726","0.6691479726"
"33","0.7267695737","0.7267695737","0.7267695737"
"34","0.5823376586","0.5823376586","0.5823376586"
"35","0.64298057","0.64298057","0.64298057"
"36","0.533084906","0.533084906","0.533084906"
"37","0.5702336812","0.5702336812","0.5702336812"
"38","0.4576218607","0.4576218607","0.4576218607"
"39","0.4496553117","0.4496553117","0.4496553117"
"40","0.3782242727","0.3782242727","0.3782242727"
"41","0.4932781633","0.4932781633","0.4932781633"
"42","0.3631558862","0.3631558862","0.3631558862"
"43","0.3890295517","0.3890295517","0.3890295517"
"44","0.3287765984","0.3287765984","0.3287765984"
"45","0.5003152744","0.5003152744","0.5003152744"
"46","0.3268753143","0.3268753143","0.3268753143"
"47","0.2993025963","0.2993025963","0.2993025963"
"48","0.3160230158","0.3160230158","0.3160230158"
"49","0.2640813475","0.2640813475","0.2640813475"
"50","0.3346565358","0.3346565358","0.3346565358"
"51","0.2424994491","0.2424994491","0.2424994491"
"52","0.3449291015","0.3449291015","0.3449291015"
"53","0.2432935925","0.2432935925","0.2432935925"
"54","0.3889872921","0.3889872921","0.3889872921"
"55","0.2606546547","0.2606546547","0.2606546547"
"56","0.3281440108","0.3281440108","0.3281440108"
"57","0.2509734433","0.2509734433","0.2509734433"
"58","0.2540279992","0.2540279992","0.2540279992"
"59","0.2283398954","0.2283398954","0.2283398954"
"60","0.2713818073","0.2713818073","0.2713818073"
"61","0.2238959442","0.2238959442","0.2238959442"
"62","0.2064965887","0.2064965887","0.2064965887"
"63","0.2187228884","0.2187228884","0.2187228884"
"64","0.2067022483","0.2067022483","0.2067022483"
"65","0.22932225","0.22932225","0.22932225"
