"Step","PPO_short_test_track_LIDAR - loss_actor","PPO_short_test_track_LIDAR - loss_actor__MIN","PPO_short_test_track_LIDAR - loss_actor__MAX"
"0","-0.0415561289","-0.0415561289","-0.0415561289"
"1","0.0536244903","0.0536244903","0.0536244903"
"2","-0.005223351","-0.005223351","-0.005223351"
"3","-0.0318225409","-0.0318225409","-0.0318225409"
"4","0.0128835833","0.0128835833","0.0128835833"
"5","0.0282116684","0.0282116684","0.0282116684"
"6","-0.0041874612","-0.0041874612","-0.0041874612"
"7","0.0205682364","0.0205682364","0.0205682364"
"8","-0.0171250537","-0.0171250537","-0.0171250537"
"9","0.0076388439","0.0076388439","0.0076388439"
"10","-0.009126192","-0.009126192","-0.009126192"
"11","-0.009230545","-0.009230545","-0.009230545"
"12","-0.0040729672","-0.0040729672","-0.0040729672"
"13","-0.0023212612","-0.0023212612","-0.0023212612"
"14","0.0035271579","0.0035271579","0.0035271579"
"15","-0.0034453711","-0.0034453711","-0.0034453711"
"16","0.0041416515","0.0041416515","0.0041416515"
"17","-0.0001883061","-0.0001883061","-0.0001883061"
"18","-0.0011274776","-0.0011274776","-0.0011274776"
"19","0.0027380535","0.0027380535","0.0027380535"
"20","-0.006448056","-0.006448056","-0.006448056"
"21","-0.0086171258","-0.0086171258","-0.0086171258"
"22","0.0093161894","0.0093161894","0.0093161894"
"23","-0.0006282401","-0.0006282401","-0.0006282401"
"24","0.0015024474","0.0015024474","0.0015024474"
"25","0.0012551856","0.0012551856","0.0012551856"
"26","-0.0141667135","-0.0141667135","-0.0141667135"
"27","0.0052547657","0.0052547657","0.0052547657"
"28","-0.0012389579","-0.0012389579","-0.0012389579"
"29","-0.00382279","-0.00382279","-0.00382279"
"30","-0.0047782054","-0.0047782054","-0.0047782054"
"31","0.002416963","0.002416963","0.002416963"
"32","0.0017831719","0.0017831719","0.0017831719"
"33","-0.0105154636","-0.0105154636","-0.0105154636"
"34","0.0043933513","0.0043933513","0.0043933513"
"35","-0.0079898924","-0.0079898924","-0.0079898924"
"36","0.0038568296","0.0038568296","0.0038568296"
"37","0.0033367732","0.0033367732","0.0033367732"
"38","-0.0099430425","-0.0099430425","-0.0099430425"
"39","0.0117634318","0.0117634318","0.0117634318"
"40","0.0020224706","0.0020224706","0.0020224706"
"41","-0.0076395613","-0.0076395613","-0.0076395613"
"42","0.0086363492","0.0086363492","0.0086363492"
"43","-0.0011862863","-0.0011862863","-0.0011862863"
"44","0.0059938162","0.0059938162","0.0059938162"
"45","-0.0119060525","-0.0119060525","-0.0119060525"
"46","0.0070420192","0.0070420192","0.0070420192"
"47","-0.0104463552","-0.0104463552","-0.0104463552"
"48","0.0029238606","0.0029238606","0.0029238606"
"49","0.0043464494","0.0043464494","0.0043464494"
"50","-0.0015233739","-0.0015233739","-0.0015233739"
"51","-0.004171053","-0.004171053","-0.004171053"
"52","-0.0064241706","-0.0064241706","-0.0064241706"
"53","0.0025353102","0.0025353102","0.0025353102"
"54","0.0065306669","0.0065306669","0.0065306669"
"55","-0.0017359203","-0.0017359203","-0.0017359203"
"56","-0.0052038058","-0.0052038058","-0.0052038058"
"57","0.0024933422","0.0024933422","0.0024933422"
"58","-0.0059084081","-0.0059084081","-0.0059084081"
"59","0.0024337037","0.0024337037","0.0024337037"
"60","-0.0031235099","-0.0031235099","-0.0031235099"
"61","0.0003855796","0.0003855796","0.0003855796"
"62","-0.0001977834","-0.0001977834","-0.0001977834"
"63","0.0012961861","0.0012961861","0.0012961861"
"64","0.0088803711","0.0088803711","0.0088803711"
