"Step","PPO_short_test_track_LIDAR - loss_critic","PPO_short_test_track_LIDAR - loss_critic__MIN","PPO_short_test_track_LIDAR - loss_critic__MAX"
"0","85.0416975784","85.0416975784","85.0416975784"
"1","26.2314389801","26.2314389801","26.2314389801"
"2","20.5583102751","20.5583102751","20.5583102751"
"3","14.5691388059","14.5691388059","14.5691388059"
"4","11.4947293496","11.4947293496","11.4947293496"
"5","7.5274652612","7.5274652612","7.5274652612"
"6","5.6486947894","5.6486947894","5.6486947894"
"7","4.6901466447","4.6901466447","4.6901466447"
"8","3.5813967317","3.5813967317","3.5813967317"
"9","2.7815855604","2.7815855604","2.7815855604"
"10","2.5281211191","2.5281211191","2.5281211191"
"11","3.0264489031","3.0264489031","3.0264489031"
"12","2.5256496724","2.5256496724","2.5256496724"
"13","2.0542040035","2.0542040035","2.0542040035"
"14","2.6036804783","2.6036804783","2.6036804783"
"15","2.2955213937","2.2955213937","2.2955213937"
"16","2.5124254584","2.5124254584","2.5124254584"
"17","1.6615544757","1.6615544757","1.6615544757"
"18","1.989461405","1.989461405","1.989461405"
"19","2.6211541861","2.6211541861","2.6211541861"
"20","2.6900817916","2.6900817916","2.6900817916"
"21","3.3914605391","3.3914605391","3.3914605391"
"22","4.8000167876","4.8000167876","4.8000167876"
"23","4.5711701387","4.5711701387","4.5711701387"
"24","3.5740670455","3.5740670455","3.5740670455"
"25","2.8896821967","2.8896821967","2.8896821967"
"26","2.3118213418","2.3118213418","2.3118213418"
"27","1.5432536756","1.5432536756","1.5432536756"
"28","1.2060870409","1.2060870409","1.2060870409"
"29","1.4499386409","1.4499386409","1.4499386409"
"30","1.2933199584","1.2933199584","1.2933199584"
"31","1.3449824631","1.3449824631","1.3449824631"
"32","1.2225742979","1.2225742979","1.2225742979"
"33","1.0820970894","1.0820970894","1.0820970894"
"34","1.6274548033","1.6274548033","1.6274548033"
"35","1.2826169023","1.2826169023","1.2826169023"
"36","1.7456754532","1.7456754532","1.7456754532"
"37","2.530313282","2.530313282","2.530313282"
"38","3.327692911","3.327692911","3.327692911"
"39","1.9628062212","1.9628062212","1.9628062212"
"40","2.0762482816","2.0762482816","2.0762482816"
"41","1.2025582404","1.2025582404","1.2025582404"
"42","0.9621005094","0.9621005094","0.9621005094"
"43","1.0853053957","1.0853053957","1.0853053957"
"44","2.0969199955","2.0969199955","2.0969199955"
"45","4.5229806304","4.5229806304","4.5229806304"
"46","3.5491604978","3.5491604978","3.5491604978"
"47","2.0208021119","2.0208021119","2.0208021119"
"48","1.4770936415","1.4770936415","1.4770936415"
"49","1.1101804601","1.1101804601","1.1101804601"
"50","0.8147398688","0.8147398688","0.8147398688"
"51","0.6050457874","0.6050457874","0.6050457874"
"52","0.8266281828","0.8266281828","0.8266281828"
"53","0.9049891265","0.9049891265","0.9049891265"
"54","1.6025599401","1.6025599401","1.6025599401"
"55","1.9606195459","1.9606195459","1.9606195459"
"56","1.6647426552","1.6647426552","1.6647426552"
"57","0.9647697939","0.9647697939","0.9647697939"
"58","0.8324305041","0.8324305041","0.8324305041"
"59","0.8019024733","0.8019024733","0.8019024733"
"60","0.9231712106","0.9231712106","0.9231712106"
"61","1.3699858406","1.3699858406","1.3699858406"
"62","1.2217058206","1.2217058206","1.2217058206"
"63","1.028267545","1.028267545","1.028267545"
"64","1.1203146215","1.1203146215","1.1203146215"
"65","1.312395491","1.312395491","1.312395491"
"66","1.6721466921","1.6721466921","1.6721466921"
"67","1.1138289709","1.1138289709","1.1138289709"
"68","1.4383275977","1.4383275977","1.4383275977"
"69","0.764588626","0.764588626","0.764588626"
"70","0.4741938791","0.4741938791","0.4741938791"
"71","0.4821736249","0.4821736249","0.4821736249"
"72","0.5775681655","0.5775681655","0.5775681655"
"73","0.5371169976","0.5371169976","0.5371169976"
"74","0.4104753122","0.4104753122","0.4104753122"
"75","0.4053578041","0.4053578041","0.4053578041"
"76","0.5032971702","0.5032971702","0.5032971702"
"77","1.0236586572","1.0236586572","1.0236586572"
"78","0.9046056733","0.9046056733","0.9046056733"
"79","1.2020295964","1.2020295964","1.2020295964"
"80","0.8499909274","0.8499909274","0.8499909274"
"81","0.4338029174","0.4338029174","0.4338029174"
"82","0.4074122869","0.4074122869","0.4074122869"
"83","0.5988164992","0.5988164992","0.5988164992"
"84","0.5485073122","0.5485073122","0.5485073122"
"85","0.6138856325","0.6138856325","0.6138856325"
"86","0.6397716403","0.6397716403","0.6397716403"
"87","0.6908137029","0.6908137029","0.6908137029"
"88","0.7545777447","0.7545777447","0.7545777447"
"89","0.4222148696","0.4222148696","0.4222148696"
"90","0.424577739","0.424577739","0.424577739"
"91","0.365461423","0.365461423","0.365461423"
"92","0.3737747583","0.3737747583","0.3737747583"
"93","0.4271020094","0.4271020094","0.4271020094"
"94","0.6162170367","0.6162170367","0.6162170367"
"95","0.720699987","0.720699987","0.720699987"
"96","0.5512486656","0.5512486656","0.5512486656"
"97","0.4323991451","0.4323991451","0.4323991451"
"98","0.313452914","0.313452914","0.313452914"
"99","0.2769765607","0.2769765607","0.2769765607"
"100","0.3310835708","0.3310835708","0.3310835708"
"101","0.4809474295","0.4809474295","0.4809474295"
"102","0.3221897576","0.3221897576","0.3221897576"
"103","0.3946958771","0.3946958771","0.3946958771"
"104","0.4557354046","0.4557354046","0.4557354046"
"105","0.3512560151","0.3512560151","0.3512560151"
"106","0.5209596185","0.5209596185","0.5209596185"
"107","0.8810283847","0.8810283847","0.8810283847"
"108","0.4046603335","0.4046603335","0.4046603335"
"109","0.3682104507","0.3682104507","0.3682104507"
"110","0.3224530444","0.3224530444","0.3224530444"
"111","0.2774697859","0.2774697859","0.2774697859"
"112","0.2017839665","0.2017839665","0.2017839665"
"113","0.1827981327","0.1827981327","0.1827981327"
"114","0.2477784517","0.2477784517","0.2477784517"
"115","0.2592872428","0.2592872428","0.2592872428"
"116","0.2983489986","0.2983489986","0.2983489986"
"117","0.6585456864","0.6585456864","0.6585456864"
"118","0.6935543147","0.6935543147","0.6935543147"
"119","0.2394106546","0.2394106546","0.2394106546"
"120","0.1884954645","0.1884954645","0.1884954645"
"121","0.1803641359","0.1803641359","0.1803641359"
"122","0.2704654809","0.2704654809","0.2704654809"
"123","0.2132941592","0.2132941592","0.2132941592"
"124","0.1927991486","0.1927991486","0.1927991486"
"125","0.2002829243","0.2002829243","0.2002829243"
"126","0.2640630436","0.2640630436","0.2640630436"
"127","0.4109919513","0.4109919513","0.4109919513"
"128","0.3505193573","0.3505193573","0.3505193573"
"129","0.186094064","0.186094064","0.186094064"
"130","0.1788733391","0.1788733391","0.1788733391"
"131","0.1769387678","0.1769387678","0.1769387678"
"132","0.2092058049","0.2092058049","0.2092058049"
"133","0.2444766665","0.2444766665","0.2444766665"
"134","0.2369286562","0.2369286562","0.2369286562"
"135","0.2467557924","0.2467557924","0.2467557924"
"136","0.1508603127","0.1508603127","0.1508603127"
"137","0.1945608133","0.1945608133","0.1945608133"
"138","0.182943322","0.182943322","0.182943322"
"139","0.1729842446","0.1729842446","0.1729842446"
"140","0.2305621034","0.2305621034","0.2305621034"
"141","0.2234588869","0.2234588869","0.2234588869"
"142","0.2097829004","0.2097829004","0.2097829004"
"143","0.1789458951","0.1789458951","0.1789458951"
"144","0.1444844056","0.1444844056","0.1444844056"
"145","0.1406863458","0.1406863458","0.1406863458"
"146","0.1602556123","0.1602556123","0.1602556123"
"147","0.1709987504","0.1709987504","0.1709987504"
"148","0.1176957833","0.1176957833","0.1176957833"
"149","0.1305935695","0.1305935695","0.1305935695"
"150","0.1354076324","0.1354076324","0.1354076324"
"151","0.1646073644","0.1646073644","0.1646073644"
"152","0.1594977614","0.1594977614","0.1594977614"
"153","0.1811947669","0.1811947669","0.1811947669"
"154","0.2476214362","0.2476214362","0.2476214362"
"155","0.2240094213","0.2240094213","0.2240094213"
"156","0.1560400693","0.1560400693","0.1560400693"
"157","0.1079285394","0.1079285394","0.1079285394"
"158","0.0896503094","0.0896503094","0.0896503094"
"159","0.1153516347","0.1153516347","0.1153516347"
"160","0.1047188567","0.1047188567","0.1047188567"
"161","0.1001303401","0.1001303401","0.1001303401"
"162","0.0918306305","0.0918306305","0.0918306305"
"163","0.1214355099","0.1214355099","0.1214355099"
"164","0.153802847","0.153802847","0.153802847"
"165","0.2050426177","0.2050426177","0.2050426177"
"166","0.1554481973","0.1554481973","0.1554481973"
"167","0.0984802996","0.0984802996","0.0984802996"
"168","0.1013461713","0.1013461713","0.1013461713"
"169","0.0993469037","0.0993469037","0.0993469037"
"170","0.1026051359","0.1026051359","0.1026051359"
"171","0.0850843484","0.0850843484","0.0850843484"
"172","0.0768382316","0.0768382316","0.0768382316"
"173","0.084132865","0.084132865","0.084132865"
"174","0.0995789531","0.0995789531","0.0995789531"
"175","0.0781313215","0.0781313215","0.0781313215"
"176","0.0630030482","0.0630030482","0.0630030482"
"177","0.082405303","0.082405303","0.082405303"
"178","0.1078264299","0.1078264299","0.1078264299"
"179","0.0902992942","0.0902992942","0.0902992942"
"180","0.0793098101","0.0793098101","0.0793098101"
"181","0.0703987927","0.0703987927","0.0703987927"
"182","0.0878932782","0.0878932782","0.0878932782"
"183","0.1062548045","0.1062548045","0.1062548045"
"184","0.1005266724","0.1005266724","0.1005266724"
"185","0.0902681412","0.0902681412","0.0902681412"
"186","0.0807652655","0.0807652655","0.0807652655"
"187","0.0807481755","0.0807481755","0.0807481755"
"188","0.0738925872","0.0738925872","0.0738925872"
"189","0.0783264719","0.0783264719","0.0783264719"
"190","0.1353910422","0.1353910422","0.1353910422"
"191","0.1282200815","0.1282200815","0.1282200815"
"192","0.0735099241","0.0735099241","0.0735099241"
"193","0.057117727","0.057117727","0.057117727"
"194","0.0589637799","0.0589637799","0.0589637799"
"195","0.0890470725","0.0890470725","0.0890470725"
"196","0.0908485682","0.0908485682","0.0908485682"
"197","0.0641231653","0.0641231653","0.0641231653"
"198","0.0651165987","0.0651165987","0.0651165987"
"199","0.0613039964","0.0613039964","0.0613039964"
"200","0.0628680838","0.0628680838","0.0628680838"
"201","0.0651965582","0.0651965582","0.0651965582"
"202","0.0692770778","0.0692770778","0.0692770778"
"203","0.0657604309","0.0657604309","0.0657604309"
"204","0.0497570279","0.0497570279","0.0497570279"
"205","0.0521834434","0.0521834434","0.0521834434"
"206","0.0607915491","0.0607915491","0.0607915491"
"207","0.0602376185","0.0602376185","0.0602376185"
"208","0.0615740039","0.0615740039","0.0615740039"
"209","0.0595272963","0.0595272963","0.0595272963"
"210","0.0782866223","0.0782866223","0.0782866223"
"211","0.0780373745","0.0780373745","0.0780373745"
