"Step","PPO_short_test_track_LIDAR - return_train","PPO_short_test_track_LIDAR - return_train__MIN","PPO_short_test_track_LIDAR - return_train__MAX"
"0","0","0","0"
"1","0","0","0"
"2","0","0","0"
"3","0","0","0"
"4","0.939999979","0.939999979","0.939999979"
"5","0.8099999819","0.8099999819","0.8099999819"
"6","0.7999999821","0.7999999821","0.7999999821"
"7","0.759999983","0.759999983","0.759999983"
"8","0.7799999826","0.7799999826","0.7799999826"
"9","0.8299999814","0.8299999814","0.8299999814"
"10","0.849999981","0.849999981","0.849999981"
"11","0.8399999812","0.8399999812","0.8399999812"
"12","0.7999999821","0.7999999821","0.7999999821"
"13","0.9099999852","0.9099999852","0.9099999852"
"14","0.8599999826","0.8599999826","0.8599999826"
"15","0.8799999803","0.8799999803","0.8799999803"
"16","0.849999981","0.849999981","0.849999981"
"17","0.8399999812","0.8399999812","0.8399999812"
"18","0.8799999822","0.8799999822","0.8799999822"
"19","0.8399999812","0.8399999812","0.8399999812"
"20","0.8399999812","0.8399999812","0.8399999812"
"21","0.8599999808","0.8599999808","0.8599999808"
"22","0.8899999838","0.8899999838","0.8899999838"
"23","0.849999981","0.849999981","0.849999981"
"24","0.7799999826","0.7799999826","0.7799999826"
"25","0.849999981","0.849999981","0.849999981"
"26","0.8099999819","0.8099999819","0.8099999819"
"27","0.8699999806","0.8699999806","0.8699999806"
"28","0.849999981","0.849999981","0.849999981"
"29","0.9199999832","0.9199999832","0.9199999832"
"30","0.8299999814","0.8299999814","0.8299999814"
"31","0.8399999812","0.8399999812","0.8399999812"
"32","0.8599999826","0.8599999826","0.8599999826"
"33","0.8399999812","0.8399999812","0.8399999812"
"34","0.7999999821","0.7999999821","0.7999999821"
"35","0.8399999812","0.8399999812","0.8399999812"
"36","0.7899999823","0.7899999823","0.7899999823"
"37","0.8099999819","0.8099999819","0.8099999819"
"38","0.8199999817","0.8199999817","0.8199999817"
"39","0.8399999812","0.8399999812","0.8399999812"
"40","0.8599999808","0.8599999808","0.8599999808"
"41","0.8799999803","0.8799999803","0.8799999803"
"42","0.7999999821","0.7999999821","0.7999999821"
"43","0.8399999812","0.8399999812","0.8399999812"
"44","0.8899999838","0.8899999838","0.8899999838"
"45","0.9299999867","0.9299999867","0.9299999867"
"46","0.8099999838","0.8099999838","0.8099999838"
"47","0.8399999812","0.8399999812","0.8399999812"
"48","0.8399999812","0.8399999812","0.8399999812"
"49","0.8399999812","0.8399999812","0.8399999812"
"50","0.9099999815","0.9099999815","0.9099999815"
"51","0.8299999814","0.8299999814","0.8299999814"
"52","0.8399999812","0.8399999812","0.8399999812"
"53","0.8399999812","0.8399999812","0.8399999812"
"54","0.7799999826","0.7799999826","0.7799999826"
"55","0.7999999821","0.7999999821","0.7999999821"
"56","0.9099999797","0.9099999797","0.9099999797"
"57","0.849999981","0.849999981","0.849999981"
"58","0.9499999862","0.9499999862","0.9499999862"
"59","0.9299999811","0.9299999811","0.9299999811"
"60","0.989999989","0.989999989","0.989999989"
"61","0.9299999848","0.9299999848","0.9299999848"
"62","0.9499999862","0.9499999862","0.9499999862"
"63","0.8799999859","0.8799999859","0.8799999859"
"64","0.9599999841","0.9599999841","0.9599999841"
"65","0.0399999991","0.0399999991","0.0399999991"
"66","0.959999986","0.959999986","0.959999986"
"67","0.8999999817","0.8999999817","0.8999999817"
"68","0.9299999829","0.9299999829","0.9299999829"
"69","0.9599999841","0.9599999841","0.9599999841"
"70","0.9699999914","0.9699999914","0.9699999914"
"71","0.9899999853","0.9899999853","0.9899999853"
"72","0.9499999825","0.9499999825","0.9499999825"
"73","0.9699999858","0.9699999858","0.9699999858"
"74","1.0199999865","1.0199999865","1.0199999865"
"75","1.0099999849","1.0099999849","1.0099999849"
