"Step","PPO_short_test_track - loss_critc","PPO_short_test_track - loss_critc__MIN","PPO_short_test_track - loss_critc__MAX"
"0","0.0145856277","0.0145856277","0.0145856277"
"1","0.0635340415","0.0635340415","0.0635340415"
"2","0.0088510557","0.0088510557","0.0088510557"
"3","0.0088484878","0.0088484878","0.0088484878"
"4","0.010184125","0.010184125","0.010184125"
"5","0.0386338174","0.0386338174","0.0386338174"
"6","0.0062032874","0.0062032874","0.0062032874"
"7","0.0066668422","0.0066668422","0.0066668422"
"8","0.0061332443","0.0061332443","0.0061332443"
"9","0.0062858085","0.0062858085","0.0062858085"
"10","0.0071404636","0.0071404636","0.0071404636"
"11","0.0056678017","0.0056678017","0.0056678017"
"12","0.0059667187","0.0059667187","0.0059667187"
"13","0.0065280709","0.0065280709","0.0065280709"
"14","0.0061899903","0.0061899903","0.0061899903"
"15","0.0060525956","0.0060525956","0.0060525956"
"16","0.0067481233","0.0067481233","0.0067481233"
"17","0.0063270885","0.0063270885","0.0063270885"
"18","0.0066946713","0.0066946713","0.0066946713"
"19","0.0068725177","0.0068725177","0.0068725177"
"20","0.0069707781","0.0069707781","0.0069707781"
"21","0.0068362818","0.0068362818","0.0068362818"
"22","0.0068147795","0.0068147795","0.0068147795"
"23","0.0068349247","0.0068349247","0.0068349247"
"24","0.0070759619","0.0070759619","0.0070759619"
"25","0.0067348249","0.0067348249","0.0067348249"
"26","0.0073241945","0.0073241945","0.0073241945"
"27","0.0069749121","0.0069749121","0.0069749121"
"28","0.006983464","0.006983464","0.006983464"
"29","0.0068637841","0.0068637841","0.0068637841"
"30","0.0072703124","0.0072703124","0.0072703124"
"31","0.0070486189","0.0070486189","0.0070486189"
"32","0.0069162036","0.0069162036","0.0069162036"
"33","0.0071360874","0.0071360874","0.0071360874"
"34","0.0070635951","0.0070635951","0.0070635951"
"35","0.0073505727","0.0073505727","0.0073505727"
"36","0.0069401357","0.0069401357","0.0069401357"
"37","0.0070486159","0.0070486159","0.0070486159"
"38","0.0065348525","0.0065348525","0.0065348525"
"39","0.0066977459","0.0066977459","0.0066977459"
"40","0.0067722585","0.0067722585","0.0067722585"
"41","0.0067304989","0.0067304989","0.0067304989"
"42","0.0075465159","0.0075465159","0.0075465159"
"43","0.0071717864","0.0071717864","0.0071717864"
"44","0.0072328931","0.0072328931","0.0072328931"
"45","0.0069887812","0.0069887812","0.0069887812"
"46","0.0070670474","0.0070670474","0.0070670474"
"47","0.0074271968","0.0074271968","0.0074271968"
"48","0.0071649791","0.0071649791","0.0071649791"
"49","0.0076531064","0.0076531064","0.0076531064"
"50","0.0074150871","0.0074150871","0.0074150871"
"51","0.006932989","0.006932989","0.006932989"
"52","0.0076544291","0.0076544291","0.0076544291"
"53","0.0070039796","0.0070039796","0.0070039796"
"54","0.007563078","0.007563078","0.007563078"
"55","0.0071770618","0.0071770618","0.0071770618"
"56","0.0076984767","0.0076984767","0.0076984767"
"57","0.0074761936","0.0074761936","0.0074761936"
"58","0.0077980968","0.0077980968","0.0077980968"
"59","0.0073420042","0.0073420042","0.0073420042"
"60","0.0080163839","0.0080163839","0.0080163839"
"61","0.0073746716","0.0073746716","0.0073746716"
"62","0.0079123073","0.0079123073","0.0079123073"
"63","0.0073474222","0.0073474222","0.0073474222"
"64","0.0081014148","0.0081014148","0.0081014148"
"65","0.0076766975","0.0076766975","0.0076766975"
"66","0.0073921495","0.0073921495","0.0073921495"
"67","0.0074987506","0.0074987506","0.0074987506"
"68","0.0076861684","0.0076861684","0.0076861684"
"69","0.0077853819","0.0077853819","0.0077853819"
"70","0.0071445739","0.0071445739","0.0071445739"
"71","0.0080343251","0.0080343251","0.0080343251"
"72","0.0074761177","0.0074761177","0.0074761177"
"73","0.0074926358","0.0074926358","0.0074926358"
"74","0.0084552598","0.0084552598","0.0084552598"
"75","0.0077913067","0.0077913067","0.0077913067"
"76","0.0077847396","0.0077847396","0.0077847396"
"77","0.0079596388","0.0079596388","0.0079596388"
"78","0.0079450834","0.0079450834","0.0079450834"
"79","0.0075926122","0.0075926122","0.0075926122"
"80","0.0079895875","0.0079895875","0.0079895875"
"81","0.0080038702","0.0080038702","0.0080038702"
"82","0.0079295076","0.0079295076","0.0079295076"
"83","0.0079082348","0.0079082348","0.0079082348"
"84","0.0079121069","0.0079121069","0.0079121069"
"85","0.0078952901","0.0078952901","0.0078952901"
"86","0.007681495","0.007681495","0.007681495"
"87","0.0076169082","0.0076169082","0.0076169082"
"88","0.0078925422","0.0078925422","0.0078925422"
"89","0.0080383459","0.0080383459","0.0080383459"
"90","0.0079324474","0.0079324474","0.0079324474"
"91","0.0078289259","0.0078289259","0.0078289259"
"92","0.0073928925","0.0073928925","0.0073928925"
"93","0.008815947","0.008815947","0.008815947"
"94","0.008197234","0.008197234","0.008197234"
"95","0.0076684705","0.0076684705","0.0076684705"
"96","0.0086630832","0.0086630832","0.0086630832"
"97","0.0083382567","0.0083382567","0.0083382567"
"98","0.0082088492","0.0082088492","0.0082088492"
"99","0.0081015136","0.0081015136","0.0081015136"
"100","0.0081831832","0.0081831832","0.0081831832"
"101","0.0076646408","0.0076646408","0.0076646408"
"102","0.0081296507","0.0081296507","0.0081296507"
"103","0.0074963378","0.0074963378","0.0074963378"
"104","0.0080683811","0.0080683811","0.0080683811"
"105","0.0076828647","0.0076828647","0.0076828647"
"106","0.007460258","0.007460258","0.007460258"
"107","0.0079753942","0.0079753942","0.0079753942"
"108","0.0074718029","0.0074718029","0.0074718029"
"109","0.0078489435","0.0078489435","0.0078489435"
"110","0.0077948068","0.0077948068","0.0077948068"
"111","0.0075820042","0.0075820042","0.0075820042"
"112","0.0081443634","0.0081443634","0.0081443634"
"113","0.0078052382","0.0078052382","0.0078052382"
"114","0.0076259782","0.0076259782","0.0076259782"
"115","0.007984446","0.007984446","0.007984446"
"116","0.007860174","0.007860174","0.007860174"
"117","0.0076410691","0.0076410691","0.0076410691"
"118","0.0079825825","0.0079825825","0.0079825825"
"119","0.0078519623","0.0078519623","0.0078519623"
"120","0.007786129","0.007786129","0.007786129"
"121","0.007986524","0.007986524","0.007986524"
"122","0.0076064038","0.0076064038","0.0076064038"
"123","0.0074672714","0.0074672714","0.0074672714"
"124","0.0080270726","0.0080270726","0.0080270726"
"125","0.0080033198","0.0080033198","0.0080033198"
"126","0.0078214573","0.0078214573","0.0078214573"
"127","0.0079660947","0.0079660947","0.0079660947"
"128","0.0075649207","0.0075649207","0.0075649207"
"129","0.0073544335","0.0073544335","0.0073544335"
"130","0.0077963323","0.0077963323","0.0077963323"
"131","0.0073565908","0.0073565908","0.0073565908"
"132","0.0075997427","0.0075997427","0.0075997427"
"133","0.0075478279","0.0075478279","0.0075478279"
"134","0.0075747411","0.0075747411","0.0075747411"
"135","0.0082076201","0.0082076201","0.0082076201"
"136","0.0069815158","0.0069815158","0.0069815158"
"137","0.0074255748","0.0074255748","0.0074255748"
"138","0.0077794677","0.0077794677","0.0077794677"
"139","0.0085584299","0.0085584299","0.0085584299"
"140","0.0073155076","0.0073155076","0.0073155076"
"141","0.0074020054","0.0074020054","0.0074020054"
"142","0.0076960747","0.0076960747","0.0076960747"
"143","0.0077874482","0.0077874482","0.0077874482"
"144","0.007806444","0.007806444","0.007806444"
"145","0.0073145759","0.0073145759","0.0073145759"
"146","0.0081058571","0.0081058571","0.0081058571"
"147","0.0072794876","0.0072794876","0.0072794876"
"148","0.0074401701","0.0074401701","0.0074401701"
"149","0.0074371895","0.0074371895","0.0074371895"
"150","0.0072497771","0.0072497771","0.0072497771"
"151","0.0076102514","0.0076102514","0.0076102514"
"152","0.0069277317","0.0069277317","0.0069277317"
"153","0.0083623373","0.0083623373","0.0083623373"
"154","0.0070214491","0.0070214491","0.0070214491"
"155","0.0073607765","0.0073607765","0.0073607765"
"156","0.0077965153","0.0077965153","0.0077965153"
"157","0.0077731747","0.0077731747","0.0077731747"
"158","0.0073754524","0.0073754524","0.0073754524"
"159","0.0081348673","0.0081348673","0.0081348673"
"160","0.007561544","0.007561544","0.007561544"
"161","0.0071622574","0.0071622574","0.0071622574"
"162","0.0079782335","0.0079782335","0.0079782335"
"163","0.0079303935","0.0079303935","0.0079303935"
"164","0.0072449599","0.0072449599","0.0072449599"
"165","0.0078010823","0.0078010823","0.0078010823"
"166","0.008324937","0.008324937","0.008324937"
"167","0.0071939483","0.0071939483","0.0071939483"
"168","0.0072040348","0.0072040348","0.0072040348"
"169","0.007522374","0.007522374","0.007522374"
"170","0.0083258283","0.0083258283","0.0083258283"
"171","0.0077418643","0.0077418643","0.0077418643"
"172","0.0077090522","0.0077090522","0.0077090522"
"173","0.0080084322","0.0080084322","0.0080084322"
"174","0.0076435413","0.0076435413","0.0076435413"
"175","0.0075411522","0.0075411522","0.0075411522"
"176","0.0082312318","0.0082312318","0.0082312318"
"177","0.0074860004","0.0074860004","0.0074860004"
"178","0.0078649732","0.0078649732","0.0078649732"
"179","0.0077657391","0.0077657391","0.0077657391"
"180","0.0078759413","0.0078759413","0.0078759413"
"181","0.007813244","0.007813244","0.007813244"
"182","0.0074189313","0.0074189313","0.0074189313"
"183","0.0078100279","0.0078100279","0.0078100279"
"184","0.0076288584","0.0076288584","0.0076288584"
"185","0.0075184858","0.0075184858","0.0075184858"
"186","0.0082644765","0.0082644765","0.0082644765"
"187","0.0078418516","0.0078418516","0.0078418516"
"188","0.0083488777","0.0083488777","0.0083488777"
"189","0.0080488198","0.0080488198","0.0080488198"
"190","0.0080174719","0.0080174719","0.0080174719"
"191","0.0079445689","0.0079445689","0.0079445689"
"192","0.0073761769","0.0073761769","0.0073761769"
"193","0.0077257208","0.0077257208","0.0077257208"
"194","0.0081326133","0.0081326133","0.0081326133"
"195","0.0079340247","0.0079340247","0.0079340247"
"196","0.0080065345","0.0080065345","0.0080065345"
"197","0.0073150171","0.0073150171","0.0073150171"
"198","0.0080446049","0.0080446049","0.0080446049"
"199","0.0079644634","0.0079644634","0.0079644634"
"200","0.0078632121","0.0078632121","0.0078632121"
"201","0.0078882673","0.0078882673","0.0078882673"
"202","0.007119634","0.007119634","0.007119634"
"203","0.007761325","0.007761325","0.007761325"
"204","0.0081455494","0.0081455494","0.0081455494"
"205","0.0078744835","0.0078744835","0.0078744835"
"206","0.0084069398","0.0084069398","0.0084069398"
"207","0.0078173839","0.0078173839","0.0078173839"
"208","0.0077463424","0.0077463424","0.0077463424"
"209","0.0073801969","0.0073801969","0.0073801969"
"210","0.007962263","0.007962263","0.007962263"
"211","0.007614842","0.007614842","0.007614842"
"212","0.0077120604","0.0077120604","0.0077120604"
"213","0.0074612701","0.0074612701","0.0074612701"
"214","0.008098265","0.008098265","0.008098265"
"215","0.0075235771","0.0075235771","0.0075235771"
"216","0.0079854369","0.0079854369","0.0079854369"
"217","0.0082641801","0.0082641801","0.0082641801"
"218","0.0077452622","0.0077452622","0.0077452622"
"219","0.0077512245","0.0077512245","0.0077512245"
"220","0.0074896036","0.0074896036","0.0074896036"
"221","0.0075521094","0.0075521094","0.0075521094"
"222","0.0078366061","0.0078366061","0.0078366061"
"223","0.0076899974","0.0076899974","0.0076899974"
"224","0.0073766104","0.0073766104","0.0073766104"
"225","0.0075998734","0.0075998734","0.0075998734"
"226","0.008257732","0.008257732","0.008257732"
"227","0.008001633","0.008001633","0.008001633"
"228","0.0078758553","0.0078758553","0.0078758553"
"229","0.0077721802","0.0077721802","0.0077721802"
"230","0.0077631099","0.0077631099","0.0077631099"
"231","0.007532012","0.007532012","0.007532012"
"232","0.0076177224","0.0076177224","0.0076177224"
"233","0.0072975278","0.0072975278","0.0072975278"
"234","0.0078060574","0.0078060574","0.0078060574"
"235","0.0075061139","0.0075061139","0.0075061139"
"236","0.0077915902","0.0077915902","0.0077915902"
"237","0.0074368748","0.0074368748","0.0074368748"
"238","0.0078011692","0.0078011692","0.0078011692"
"239","0.0075236162","0.0075236162","0.0075236162"
"240","0.0070696914","0.0070696914","0.0070696914"
"241","0.007769361","0.007769361","0.007769361"
"242","0.0076009924","0.0076009924","0.0076009924"
"243","0.0082440335","0.0082440335","0.0082440335"
"244","0.007447742","0.007447742","0.007447742"
"245","0.0075606658","0.0075606658","0.0075606658"
"246","0.0076671422","0.0076671422","0.0076671422"
"247","0.0074748292","0.0074748292","0.0074748292"
"248","0.0073825248","0.0073825248","0.0073825248"
"249","0.0076871368","0.0076871368","0.0076871368"
"250","0.0074336074","0.0074336074","0.0074336074"
"251","0.0075068381","0.0075068381","0.0075068381"
"252","0.0074155894","0.0074155894","0.0074155894"
"253","0.0076677335","0.0076677335","0.0076677335"
"254","0.0080584229","0.0080584229","0.0080584229"
"255","0.0078620627","0.0078620627","0.0078620627"
"256","0.0072882218","0.0072882218","0.0072882218"
"257","0.0078435458","0.0078435458","0.0078435458"
"258","0.007586226","0.007586226","0.007586226"
"259","0.0076356962","0.0076356962","0.0076356962"
"260","0.0075898703","0.0075898703","0.0075898703"
"261","0.0076000696","0.0076000696","0.0076000696"
