"Step","PPO_short_test_track - return_train","PPO_short_test_track - return_train__MIN","PPO_short_test_track - return_train__MAX"
"0","1.8699999582","1.8699999582","1.8699999582"
"1","1.8699999582","1.8699999582","1.8699999582"
"2","0.0099999998","0.0099999998","0.0099999998"
"3","2.1399999522","2.1399999522","2.1399999522"
"4","0.1399999969","0.1399999969","0.1399999969"
"5","0.2299999949","0.2299999949","0.2299999949"
"6","0.0799999982","0.0799999982","0.0799999982"
"7","0.4099999908","0.4099999908","0.4099999908"
"8","0.1499999966","0.1499999966","0.1499999966"
"9","0","0","0"
"10","0.269999994","0.269999994","0.269999994"
"11","0.2499999944","0.2499999944","0.2499999944"
"12","0","0","0"
"13","0.269999994","0.269999994","0.269999994"
"14","0.1299999971","0.1299999971","0.1299999971"
"15","0.1299999971","0.1299999971","0.1299999971"
"16","0.0799999982","0.0799999982","0.0799999982"
"17","1.429999968","1.429999968","1.429999968"
"18","0.4199999906","0.4199999906","0.4199999906"
"19","0.0699999984","0.0699999984","0.0699999984"
"20","0.1099999975","0.1099999975","0.1099999975"
"21","0.1099999975","0.1099999975","0.1099999975"
"22","0","0","0"
"23","0.489999989","0.489999989","0.489999989"
"24","0.0799999982","0.0799999982","0.0799999982"
"25","0.089999998","0.089999998","0.089999998"
"26","1.5599999651","1.5599999651","1.5599999651"
"27","0.0199999996","0.0199999996","0.0199999996"
"28","0.1999999955","0.1999999955","0.1999999955"
"29","0.0699999984","0.0699999984","0.0699999984"
"30","0","0","0"
"31","0.3699999917","0.3699999917","0.3699999917"
"32","0.5399999879","0.5399999879","0.5399999879"
"33","3.6499999184","3.6499999184","3.6499999184"
"34","0.7099999841","0.7099999841","0.7099999841"
"35","0.0499999989","0.0499999989","0.0499999989"
"36","0.3099999931","0.3099999931","0.3099999931"
"37","0.2299999949","0.2299999949","0.2299999949"
"38","0","0","0"
"39","1.6299999636","1.6299999636","1.6299999636"
"40","3.3499999251","3.3499999251","3.3499999251"
"41","0.8599999808","0.8599999808","0.8599999808"
"42","3.0299999323","3.0299999323","3.0299999323"
"43","0.3799999915","0.3799999915","0.3799999915"
"44","0.0499999989","0.0499999989","0.0499999989"
"45","0.4699999895","0.4699999895","0.4699999895"
"46","0.1199999973","0.1199999973","0.1199999973"
"47","0","0","0"
"48","0.2399999946","0.2399999946","0.2399999946"
"49","0","0","0"
"50","0.4799999893","0.4799999893","0.4799999893"
"51","0.2599999942","0.2599999942","0.2599999942"
"52","0","0","0"
"53","0.6799999848","0.6799999848","0.6799999848"
"54","0.7399999835","0.7399999835","0.7399999835"
"55","0.4099999908","0.4099999908","0.4099999908"
"56","1.2399999723","1.2399999723","1.2399999723"
"57","1.699999962","1.699999962","1.699999962"
"58","0.669999985","0.669999985","0.669999985"
"59","0.1099999975","0.1099999975","0.1099999975"
"60","0.4799999893","0.4799999893","0.4799999893"
"61","0.4399999902","0.4399999902","0.4399999902"
"62","0.1399999969","0.1399999969","0.1399999969"
"63","0.0499999989","0.0499999989","0.0499999989"
"64","2.8299999367","2.8299999367","2.8299999367"
"65","0.8399999812","0.8399999812","0.8399999812"
"66","0.269999994","0.269999994","0.269999994"
"67","0","0","0"
"68","0","0","0"
"69","0.9799999781","0.9799999781","0.9799999781"
"70","0.2799999937","0.2799999937","0.2799999937"
"71","0.0299999993","0.0299999993","0.0299999993"
"72","0.1299999971","0.1299999971","0.1299999971"
"73","0.1499999966","0.1499999966","0.1499999966"
"74","0.1299999971","0.1299999971","0.1299999971"
"75","1.9799999557","1.9799999557","1.9799999557"
"76","0.6599999852","0.6599999852","0.6599999852"
"77","0.5599999875","0.5599999875","0.5599999875"
"78","0.1399999969","0.1399999969","0.1399999969"
"79","0.0099999998","0.0099999998","0.0099999998"
"80","2.1499999519","2.1499999519","2.1499999519"
"81","0.2399999946","0.2399999946","0.2399999946"
"82","0.4199999906","0.4199999906","0.4199999906"
"83","0.9799999781","0.9799999781","0.9799999781"
"84","0","0","0"
"85","0","0","0"
"86","0.089999998","0.089999998","0.089999998"
"87","0.2599999942","0.2599999942","0.2599999942"
"88","0.5999999866","0.5999999866","0.5999999866"
"89","0.7199999839","0.7199999839","0.7199999839"
"90","0.4199999906","0.4199999906","0.4199999906"
"91","0.8099999819","0.8099999819","0.8099999819"
"92","0.179999996","0.179999996","0.179999996"
"93","0.2999999933","0.2999999933","0.2999999933"
"94","0.4199999906","0.4199999906","0.4199999906"
"95","0.2299999949","0.2299999949","0.2299999949"
"96","0.269999994","0.269999994","0.269999994"
"97","0.0499999989","0.0499999989","0.0499999989"
"98","0","0","0"
"99","1.209999973","1.209999973","1.209999973"
"100","0.8799999803","0.8799999803","0.8799999803"
"101","0.7899999823","0.7899999823","0.7899999823"
"102","0.0199999996","0.0199999996","0.0199999996"
"103","0.179999996","0.179999996","0.179999996"
"104","0.4599999897","0.4599999897","0.4599999897"
"105","0.2299999949","0.2299999949","0.2299999949"
"106","0.1999999955","0.1999999955","0.1999999955"
"107","0.2299999949","0.2299999949","0.2299999949"
"108","0.4099999908","0.4099999908","0.4099999908"
"109","0.7399999835","0.7399999835","0.7399999835"
"110","0.359999992","0.359999992","0.359999992"
"111","0.0099999998","0.0099999998","0.0099999998"
"112","0.3399999924","0.3399999924","0.3399999924"
"113","0.0699999984","0.0699999984","0.0699999984"
"114","0.0099999998","0.0099999998","0.0099999998"
"115","0.9599999785","0.9599999785","0.9599999785"
"116","0.0199999996","0.0199999996","0.0199999996"
"117","0.6999999844","0.6999999844","0.6999999844"
"118","1.519999966","1.519999966","1.519999966"
"119","0.0399999991","0.0399999991","0.0399999991"
"120","0.0099999998","0.0099999998","0.0099999998"
"121","1.7599999607","1.7599999607","1.7599999607"
"122","0.2299999949","0.2299999949","0.2299999949"
"123","0.8099999819","0.8099999819","0.8099999819"
"124","2.059999954","2.059999954","2.059999954"
"125","0","0","0"
"126","0.0299999993","0.0299999993","0.0299999993"
"127","0","0","0"
"128","0.1499999966","0.1499999966","0.1499999966"
"129","0.1199999973","0.1199999973","0.1199999973"
"130","0.4699999895","0.4699999895","0.4699999895"
"131","0.1199999973","0.1199999973","0.1199999973"
"132","0","0","0"
"133","1.5899999645","1.5899999645","1.5899999645"
"134","0","0","0"
"135","0.4399999902","0.4399999902","0.4399999902"
"136","0.089999998","0.089999998","0.089999998"
"137","0.1399999969","0.1399999969","0.1399999969"
"138","0","0","0"
"139","0.359999992","0.359999992","0.359999992"
"140","0.489999989","0.489999989","0.489999989"
"141","0.089999998","0.089999998","0.089999998"
"142","0.1399999969","0.1399999969","0.1399999969"
"143","0.0199999996","0.0199999996","0.0199999996"
"144","1.1699999738","1.1699999738","1.1699999738"
"145","0.3399999924","0.3399999924","0.3399999924"
"146","2.4399999455","2.4399999455","2.4399999455"
"147","0","0","0"
"148","0.1299999971","0.1299999971","0.1299999971"
"149","0.2399999946","0.2399999946","0.2399999946"
"150","1.0899999756","1.0899999756","1.0899999756"
"151","0.9699999783","0.9699999783","0.9699999783"
"152","0.6399999857","0.6399999857","0.6399999857"
"153","0.089999998","0.089999998","0.089999998"
"154","0.2499999944","0.2499999944","0.2499999944"
"155","0.0099999998","0.0099999998","0.0099999998"
"156","0.0299999993","0.0299999993","0.0299999993"
"157","0.0699999984","0.0699999984","0.0699999984"
"158","2.2699999493","2.2699999493","2.2699999493"
"159","0.7999999821","0.7999999821","0.7999999821"
"160","0","0","0"
"161","0.9299999792","0.9299999792","0.9299999792"
"162","0.2499999944","0.2499999944","0.2499999944"
"163","0.1299999971","0.1299999971","0.1299999971"
"164","0.8099999819","0.8099999819","0.8099999819"
"165","1.6899999622","1.6899999622","1.6899999622"
"166","0.0999999978","0.0999999978","0.0999999978"
"167","0.6999999844","0.6999999844","0.6999999844"
"168","0.4299999904","0.4299999904","0.4299999904"
"169","0.2099999953","0.2099999953","0.2099999953"
"170","0.2899999935","0.2899999935","0.2899999935"
"171","1.4699999671","1.4699999671","1.4699999671"
"172","0","0","0"
"173","0.0399999991","0.0399999991","0.0399999991"
"174","0.0499999989","0.0499999989","0.0499999989"
"175","0.3499999922","0.3499999922","0.3499999922"
"176","0.1699999962","0.1699999962","0.1699999962"
"177","0.089999998","0.089999998","0.089999998"
"178","3.0699999314","3.0699999314","3.0699999314"
"179","0.7199999839","0.7199999839","0.7199999839"
"180","0","0","0"
"181","0.2399999946","0.2399999946","0.2399999946"
"182","0.1199999973","0.1199999973","0.1199999973"
"183","1.0699999761","1.0699999761","1.0699999761"
"184","1.8099999595","1.8099999595","1.8099999595"
"185","0.4099999908","0.4099999908","0.4099999908"
"186","0.089999998","0.089999998","0.089999998"
"187","0.669999985","0.669999985","0.669999985"
"188","0.2899999935","0.2899999935","0.2899999935"
"189","0.9899999779","0.9899999779","0.9899999779"
"190","0","0","0"
"191","0.6099999864","0.6099999864","0.6099999864"
"192","0","0","0"
"193","0.0099999998","0.0099999998","0.0099999998"
"194","0.489999989","0.489999989","0.489999989"
"195","0.4999999888","0.4999999888","0.4999999888"
"196","0.2599999942","0.2599999942","0.2599999942"
"197","0.2399999946","0.2399999946","0.2399999946"
