"Step","SAC_Double_critic_lidar - loss_critic","SAC_Double_critic_lidar - loss_critic__MIN","SAC_Double_critic_lidar - loss_critic__MAX"
"0","5.3084557873","5.3084557873","5.3084557873"
"1","1.671487048","1.671487048","1.671487048"
"2","1.473031626","1.473031626","1.473031626"
"3","1.2493016043","1.2493016043","1.2493016043"
"4","1.2298658532","1.2298658532","1.2298658532"
"5","1.0573034674","1.0573034674","1.0573034674"
"6","0.9253707163","0.9253707163","0.9253707163"
"7","0.8313400194","0.8313400194","0.8313400194"
"8","0.7386650062","0.7386650062","0.7386650062"
"9","0.834137492","0.834137492","0.834137492"
"10","0.6525908053","0.6525908053","0.6525908053"
"11","1.0599531342","1.0599531342","1.0599531342"
"12","0.8024154459","0.8024154459","0.8024154459"
"13","0.8461802997","0.8461802997","0.8461802997"
"14","0.7411603293","0.7411603293","0.7411603293"
"15","0.6913764027","0.6913764027","0.6913764027"
"16","0.6555692613","0.6555692613","0.6555692613"
"17","0.6239457633","0.6239457633","0.6239457633"
"18","0.6205838412","0.6205838412","0.6205838412"
"19","0.5568610805","0.5568610805","0.5568610805"
"20","0.6708778454","0.6708778454","0.6708778454"
"21","0.774897157","0.774897157","0.774897157"
"22","0.7012191647","0.7012191647","0.7012191647"
"23","0.7301738751","0.7301738751","0.7301738751"
"24","0.766538921","0.766538921","0.766538921"
"25","0.6501841819","0.6501841819","0.6501841819"
"26","0.6639463142","0.6639463142","0.6639463142"
"27","0.634231227","0.634231227","0.634231227"
"28","0.6717849335","0.6717849335","0.6717849335"
"29","0.6193413357","0.6193413357","0.6193413357"
"30","0.7038330989","0.7038330989","0.7038330989"
"31","0.6912716502","0.6912716502","0.6912716502"
"32","0.6301276018","0.6301276018","0.6301276018"
"33","0.6245832063","0.6245832063","0.6245832063"
"34","0.6355502503","0.6355502503","0.6355502503"
"35","0.6328835596","0.6328835596","0.6328835596"
"36","0.6694592485","0.6694592485","0.6694592485"
"37","0.6528636762","0.6528636762","0.6528636762"
"38","0.6897488709","0.6897488709","0.6897488709"
"39","0.6537746434","0.6537746434","0.6537746434"
"40","0.6367609446","0.6367609446","0.6367609446"
"41","0.592310404","0.592310404","0.592310404"
"42","0.578144324","0.578144324","0.578144324"
"43","0.8825764151","0.8825764151","0.8825764151"
"44","0.6355302241","0.6355302241","0.6355302241"
"45","0.6724445297","0.6724445297","0.6724445297"
"46","0.8454015929","0.8454015929","0.8454015929"
"47","0.6503732851","0.6503732851","0.6503732851"
"48","0.7570526312","0.7570526312","0.7570526312"
"49","0.8224057706","0.8224057706","0.8224057706"
"50","0.970165616","0.970165616","0.970165616"
"51","0.8830691801","0.8830691801","0.8830691801"
"52","0.8445127273","0.8445127273","0.8445127273"
"53","0.8529512262","0.8529512262","0.8529512262"
"54","0.9969157164","0.9969157164","0.9969157164"
"55","0.9422375722","0.9422375722","0.9422375722"
"56","0.8890488443","0.8890488443","0.8890488443"
"57","0.8236236626","0.8236236626","0.8236236626"
"58","0.7923304047","0.7923304047","0.7923304047"
"59","0.8067200801","0.8067200801","0.8067200801"
"60","0.6910789706","0.6910789706","0.6910789706"
"61","0.7070939058","0.7070939058","0.7070939058"
"62","0.6859221604","0.6859221604","0.6859221604"
"63","0.7059340636","0.7059340636","0.7059340636"
"64","0.7358317749","0.7358317749","0.7358317749"
"65","0.690787624","0.690787624","0.690787624"
"66","0.7749980533","0.7749980533","0.7749980533"
"67","0.6490105776","0.6490105776","0.6490105776"
"68","0.6599856739","0.6599856739","0.6599856739"
"69","0.7205530886","0.7205530886","0.7205530886"
"70","0.7166493426","0.7166493426","0.7166493426"
"71","0.6244604948","0.6244604948","0.6244604948"
