"Step","SAC_short_test_track - loss_actor","SAC_short_test_track - loss_actor__MIN","SAC_short_test_track - loss_actor__MAX"
"0","-0.1283929087","-0.1283929087","-0.1283929087"
"1","-0.1622953676","-0.1622953676","-0.1622953676"
"2","-0.1910038368","-0.1910038368","-0.1910038368"
"3","-0.2225872834","-0.2225872834","-0.2225872834"
"4","-0.2559112266","-0.2559112266","-0.2559112266"
"5","-0.2905724938","-0.2905724938","-0.2905724938"
"6","-0.3245250167","-0.3245250167","-0.3245250167"
"7","-0.3608925641","-0.3608925641","-0.3608925641"
"8","-0.3989653577","-0.3989653577","-0.3989653577"
"9","-0.4336790532","-0.4336790532","-0.4336790532"
"10","-0.4642366058","-0.4642366058","-0.4642366058"
"11","-0.5062640975","-0.5062640975","-0.5062640975"
"12","-0.5399172673","-0.5399172673","-0.5399172673"
"13","-0.5713515335","-0.5713515335","-0.5713515335"
"14","-0.601053856","-0.601053856","-0.601053856"
"15","-0.634927066","-0.634927066","-0.634927066"
"16","-0.66744499","-0.66744499","-0.66744499"
"17","-0.6975632513","-0.6975632513","-0.6975632513"
"18","-0.7256769067","-0.7256769067","-0.7256769067"
"19","-0.7535439244","-0.7535439244","-0.7535439244"
"20","-0.7847561136","-0.7847561136","-0.7847561136"
"21","-0.8126268899","-0.8126268899","-0.8126268899"
"22","-0.8415454024","-0.8415454024","-0.8415454024"
"23","-0.8691076663","-0.8691076663","-0.8691076663"
"24","-0.8955832747","-0.8955832747","-0.8955832747"
"25","-0.9183551115","-0.9183551115","-0.9183551115"
"26","-0.9464582372","-0.9464582372","-0.9464582372"
"27","-0.9721114528","-0.9721114528","-0.9721114528"
"28","-0.9989251545","-0.9989251545","-0.9989251545"
"29","-1.0119319701","-1.0119319701","-1.0119319701"
"30","-1.0331330442","-1.0331330442","-1.0331330442"
"31","-1.0454029909","-1.0454029909","-1.0454029909"
"32","-1.067980687","-1.067980687","-1.067980687"
"33","-1.0906928355","-1.0906928355","-1.0906928355"
"34","-1.0990147901","-1.0990147901","-1.0990147901"
"35","-1.1089918953","-1.1089918953","-1.1089918953"
"36","-1.1334452993","-1.1334452993","-1.1334452993"
"37","-1.1460058314","-1.1460058314","-1.1460058314"
"38","-1.1498043823","-1.1498043823","-1.1498043823"
"39","-1.1397383547","-1.1397383547","-1.1397383547"
"40","-1.1581998438","-1.1581998438","-1.1581998438"
"41","-1.1456578141","-1.1456578141","-1.1456578141"
"42","-1.1680669326","-1.1680669326","-1.1680669326"
"43","-1.1888487226","-1.1888487226","-1.1888487226"
"44","-1.1772991604","-1.1772991604","-1.1772991604"
"45","-1.1887640059","-1.1887640059","-1.1887640059"
"46","-1.1873151928","-1.1873151928","-1.1873151928"
"47","-1.2086098981","-1.2086098981","-1.2086098981"
"48","-1.2213377982","-1.2213377982","-1.2213377982"
"49","-1.2344817299","-1.2344817299","-1.2344817299"
"50","-1.2436413568","-1.2436413568","-1.2436413568"
"51","-1.2539821887","-1.2539821887","-1.2539821887"
"52","-1.2713873738","-1.2713873738","-1.2713873738"
"53","-1.2775740916","-1.2775740916","-1.2775740916"
"54","-1.3035468906","-1.3035468906","-1.3035468906"
"55","-1.2971412736","-1.2971412736","-1.2971412736"
"56","-1.3186314106","-1.3186314106","-1.3186314106"
"57","-1.3330472034","-1.3330472034","-1.3330472034"
"58","-1.3487242931","-1.3487242931","-1.3487242931"
"59","-1.3596380335","-1.3596380335","-1.3596380335"
"60","-1.3837358606","-1.3837358606","-1.3837358606"
"61","-1.3965069157","-1.3965069157","-1.3965069157"
"62","-1.4069987053","-1.4069987053","-1.4069987053"
"63","-1.4197012025","-1.4197012025","-1.4197012025"
"64","-1.4341543424","-1.4341543424","-1.4341543424"
"65","-1.4481923419","-1.4481923419","-1.4481923419"
"66","-1.4631794828","-1.4631794828","-1.4631794828"
"67","-1.4837656015","-1.4837656015","-1.4837656015"
"68","-1.5001292866","-1.5001292866","-1.5001292866"
"69","-1.5179702735","-1.5179702735","-1.5179702735"
"70","-1.5376187563","-1.5376187563","-1.5376187563"
"71","-1.5558613634","-1.5558613634","-1.5558613634"
"72","-1.572182079","-1.572182079","-1.572182079"
"73","-1.592144056","-1.592144056","-1.592144056"
"74","-1.6087640119","-1.6087640119","-1.6087640119"
"75","-1.6266504413","-1.6266504413","-1.6266504413"
"76","-1.6428556186","-1.6428556186","-1.6428556186"
"77","-1.6630501813","-1.6630501813","-1.6630501813"
"78","-1.6778052545","-1.6778052545","-1.6778052545"
"79","-1.6934202892","-1.6934202892","-1.6934202892"
"80","-1.7087913239","-1.7087913239","-1.7087913239"
"81","-1.7277498782","-1.7277498782","-1.7277498782"
"82","-1.7465785426","-1.7465785426","-1.7465785426"
"83","-1.7653414148","-1.7653414148","-1.7653414148"
"84","-1.7812570143","-1.7812570143","-1.7812570143"
"85","-1.8023570514","-1.8023570514","-1.8023570514"
"86","-1.8154149967","-1.8154149967","-1.8154149967"
"87","-1.8296708781","-1.8296708781","-1.8296708781"
"88","-1.8462332636","-1.8462332636","-1.8462332636"
"89","-1.8639757186","-1.8639757186","-1.8639757186"
"90","-1.8768452013","-1.8768452013","-1.8768452013"
"91","-1.8985993785","-1.8985993785","-1.8985993785"
"92","-1.9100555617","-1.9100555617","-1.9100555617"
"93","-1.9276940423","-1.9276940423","-1.9276940423"
"94","-1.9403109562","-1.9403109562","-1.9403109562"
"95","-1.961671294","-1.961671294","-1.961671294"
"96","-1.9724441648","-1.9724441648","-1.9724441648"
"97","-1.9902675617","-1.9902675617","-1.9902675617"
"98","-2.0055977798","-2.0055977798","-2.0055977798"
"99","-2.0183183938","-2.0183183938","-2.0183183938"
"100","-2.034614467","-2.034614467","-2.034614467"
"101","-2.0465269256","-2.0465269256","-2.0465269256"
"102","-2.067520262","-2.067520262","-2.067520262"
"103","-2.0723046118","-2.0723046118","-2.0723046118"
"104","-2.091280995","-2.091280995","-2.091280995"
"105","-2.1035460031","-2.1035460031","-2.1035460031"
"106","-2.117106359","-2.117106359","-2.117106359"
"107","-2.1243337071","-2.1243337071","-2.1243337071"
"108","-2.150527482","-2.150527482","-2.150527482"
"109","-2.1547989619","-2.1547989619","-2.1547989619"
"110","-2.1724137509","-2.1724137509","-2.1724137509"
"111","-2.1837298226","-2.1837298226","-2.1837298226"
"112","-2.2035191655","-2.2035191655","-2.2035191655"
"113","-2.2105435956","-2.2105435956","-2.2105435956"
"114","-2.2249873674","-2.2249873674","-2.2249873674"
"115","-2.2433709693","-2.2433709693","-2.2433709693"
"116","-2.2443723083","-2.2443723083","-2.2443723083"
"117","-2.2609474957","-2.2609474957","-2.2609474957"
"118","-2.278082515","-2.278082515","-2.278082515"
"119","-2.2840155125","-2.2840155125","-2.2840155125"
"120","-2.2998474038","-2.2998474038","-2.2998474038"
"121","-2.3130034947","-2.3130034947","-2.3130034947"
"122","-2.3257616949","-2.3257616949","-2.3257616949"
"123","-2.3396882534","-2.3396882534","-2.3396882534"
"124","-2.3520637703","-2.3520637703","-2.3520637703"
"125","-2.360372504","-2.360372504","-2.360372504"
"126","-2.3721619916","-2.3721619916","-2.3721619916"
"127","-2.3893332314","-2.3893332314","-2.3893332314"
"128","-2.3961071908","-2.3961071908","-2.3961071908"
"129","-2.4163582087","-2.4163582087","-2.4163582087"
"130","-2.4178505695","-2.4178505695","-2.4178505695"
"131","-2.4209645772","-2.4209645772","-2.4209645772"
"132","-2.4396153498","-2.4396153498","-2.4396153498"
"133","-2.4488600588","-2.4488600588","-2.4488600588"
"134","-2.4604789567","-2.4604789567","-2.4604789567"
"135","-2.4772153616","-2.4772153616","-2.4772153616"
"136","-2.483545351","-2.483545351","-2.483545351"
"137","-2.4888136053","-2.4888136053","-2.4888136053"
"138","-2.5017727709","-2.5017727709","-2.5017727709"
"139","-2.5043601656","-2.5043601656","-2.5043601656"
"140","-2.5222437572","-2.5222437572","-2.5222437572"
"141","-2.5267631245","-2.5267631245","-2.5267631245"
"142","-2.5418186057","-2.5418186057","-2.5418186057"
"143","-2.5505279148","-2.5505279148","-2.5505279148"
"144","-2.5637408996","-2.5637408996","-2.5637408996"
"145","-2.5755836391","-2.5755836391","-2.5755836391"
"146","-2.5738584745","-2.5738584745","-2.5738584745"
"147","-2.5872889566","-2.5872889566","-2.5872889566"
"148","-2.6064800239","-2.6064800239","-2.6064800239"
"149","-2.6109087491","-2.6109087491","-2.6109087491"
"150","-2.6191188169","-2.6191188169","-2.6191188169"
"151","-2.6401050103","-2.6401050103","-2.6401050103"
"152","-2.6391875935","-2.6391875935","-2.6391875935"
"153","-2.6577682364","-2.6577682364","-2.6577682364"
"154","-2.6509631658","-2.6509631658","-2.6509631658"
"155","-2.6750717711","-2.6750717711","-2.6750717711"
"156","-2.6735938764","-2.6735938764","-2.6735938764"
"157","-2.6873559034","-2.6873559034","-2.6873559034"
"158","-2.6971087813","-2.6971087813","-2.6971087813"
"159","-2.6964561641","-2.6964561641","-2.6964561641"
"160","-2.7088094068","-2.7088094068","-2.7088094068"
"161","-2.7238308346","-2.7238308346","-2.7238308346"
"162","-2.7306194675","-2.7306194675","-2.7306194675"
"163","-2.7349111366","-2.7349111366","-2.7349111366"
"164","-2.7518791616","-2.7518791616","-2.7518791616"
"165","-2.7549855542","-2.7549855542","-2.7549855542"
"166","-2.7654759037","-2.7654759037","-2.7654759037"
"167","-2.7750811362","-2.7750811362","-2.7750811362"
"168","-2.7820416403","-2.7820416403","-2.7820416403"
"169","-2.7825634885","-2.7825634885","-2.7825634885"
"170","-2.7843446732","-2.7843446732","-2.7843446732"
"171","-2.789172287","-2.789172287","-2.789172287"
"172","-2.803633486","-2.803633486","-2.803633486"
"173","-2.8086821568","-2.8086821568","-2.8086821568"
"174","-2.8118081748","-2.8118081748","-2.8118081748"
"175","-2.8298577011","-2.8298577011","-2.8298577011"
"176","-2.82975088","-2.82975088","-2.82975088"
"177","-2.8338222635","-2.8338222635","-2.8338222635"
"178","-2.848897773","-2.848897773","-2.848897773"
"179","-2.8429065692","-2.8429065692","-2.8429065692"
"180","-2.8466995752","-2.8466995752","-2.8466995752"
"181","-2.8557691908","-2.8557691908","-2.8557691908"
"182","-2.8641509128","-2.8641509128","-2.8641509128"
"183","-2.8763335836","-2.8763335836","-2.8763335836"
"184","-2.8791670215","-2.8791670215","-2.8791670215"
"185","-2.8690499103","-2.8690499103","-2.8690499103"
"186","-2.8848417485","-2.8848417485","-2.8848417485"
"187","-2.8976871169","-2.8976871169","-2.8976871169"
"188","-2.8942821693","-2.8942821693","-2.8942821693"
"189","-2.8974817026","-2.8974817026","-2.8974817026"
"190","-2.9113051045","-2.9113051045","-2.9113051045"
"191","-2.9229432845","-2.9229432845","-2.9229432845"
"192","-2.9222658455","-2.9222658455","-2.9222658455"
"193","-2.9317882097","-2.9317882097","-2.9317882097"
"194","-2.9200880694","-2.9200880694","-2.9200880694"
"195","-2.9288762784","-2.9288762784","-2.9288762784"
"196","-2.9268580317","-2.9268580317","-2.9268580317"
"197","-2.9374347615","-2.9374347615","-2.9374347615"
"198","-2.9396733236","-2.9396733236","-2.9396733236"
"199","-2.9484635353","-2.9484635353","-2.9484635353"
"200","-2.9555553317","-2.9555553317","-2.9555553317"
"201","-2.9583449459","-2.9583449459","-2.9583449459"
"202","-2.9666224968","-2.9666224968","-2.9666224968"
"203","-2.9652167153","-2.9652167153","-2.9652167153"
"204","-2.9756194568","-2.9756194568","-2.9756194568"
"205","-2.9738243473","-2.9738243473","-2.9738243473"
"206","-2.9751771057","-2.9751771057","-2.9751771057"
"207","-2.9818044317","-2.9818044317","-2.9818044317"
"208","-2.9902416074","-2.9902416074","-2.9902416074"
"209","-2.9994306719","-2.9994306719","-2.9994306719"
"210","-3.0025065446","-3.0025065446","-3.0025065446"
"211","-3.0050886166","-3.0050886166","-3.0050886166"
"212","-3.0103651536","-3.0103651536","-3.0103651536"
"213","-3.0104908824","-3.0104908824","-3.0104908824"
"214","-3.0102753115","-3.0102753115","-3.0102753115"
"215","-3.022800523","-3.022800523","-3.022800523"
"216","-3.0264405048","-3.0264405048","-3.0264405048"
"217","-3.0342069197","-3.0342069197","-3.0342069197"
"218","-3.0377177894","-3.0377177894","-3.0377177894"
"219","-3.0331356859","-3.0331356859","-3.0331356859"
"220","-3.0440399384","-3.0440399384","-3.0440399384"
"221","-3.0396288168","-3.0396288168","-3.0396288168"
"222","-3.0575210941","-3.0575210941","-3.0575210941"
"223","-3.0635063481","-3.0635063481","-3.0635063481"
"224","-3.0534490669","-3.0534490669","-3.0534490669"
"225","-3.0712466192","-3.0712466192","-3.0712466192"
"226","-3.0757883716","-3.0757883716","-3.0757883716"
"227","-3.0725483799","-3.0725483799","-3.0725483799"
"228","-3.0705102563","-3.0705102563","-3.0705102563"
"229","-3.0942495406","-3.0942495406","-3.0942495406"
"230","-3.0860037017","-3.0860037017","-3.0860037017"
"231","-3.0852911568","-3.0852911568","-3.0852911568"
"232","-3.0960690737","-3.0960690737","-3.0960690737"
"233","-3.0977896786","-3.0977896786","-3.0977896786"
"234","-3.088772378","-3.088772378","-3.088772378"
"235","-3.0962224019","-3.0962224019","-3.0962224019"
"236","-3.1048797154","-3.1048797154","-3.1048797154"
"237","-3.1074859285","-3.1074859285","-3.1074859285"
"238","-3.1027770329","-3.1027770329","-3.1027770329"
"239","-3.1201305711","-3.1201305711","-3.1201305711"
