"Step","SAC_short_test_track - return_train","SAC_short_test_track - return_train__MIN","SAC_short_test_track - return_train__MAX"
"0","0.2899999935","0.2899999935","0.2899999935"
"1","0.2899999935","0.2899999935","0.2899999935"
"2","0.5599999875","0.5599999875","0.5599999875"
"3","0.2899999935","0.2899999935","0.2899999935"
"4","0.6099999864","0.6099999864","0.6099999864"
"5","1.3099999707","1.3099999707","1.3099999707"
"6","0.1299999971","0.1299999971","0.1299999971"
"7","1.9799999557","1.9799999557","1.9799999557"
"8","1.0999999754","1.0999999754","1.0999999754"
"9","0.8899999801","0.8899999801","0.8899999801"
"10","0.3199999928","0.3199999928","0.3199999928"
"11","1.1699999738","1.1699999738","1.1699999738"
"12","0.7499999832","0.7499999832","0.7499999832"
"13","1.7999999598","1.7999999598","1.7999999598"
"14","0","0","0"
"15","0.3299999926","0.3299999926","0.3299999926"
"16","0.6099999864","0.6099999864","0.6099999864"
"17","0.6999999844","0.6999999844","0.6999999844"
"18","0.089999998","0.089999998","0.089999998"
"19","0.359999992","0.359999992","0.359999992"
"20","0.5499999877","0.5499999877","0.5499999877"
"21","0.4799999893","0.4799999893","0.4799999893"
"22","0","0","0"
"23","3.9399999119","3.9399999119","3.9399999119"
"24","2.0999999531","2.0999999531","2.0999999531"
"25","0.269999994","0.269999994","0.269999994"
"26","2.7999999374","2.7999999374","2.7999999374"
"27","1.2899999712","1.2899999712","1.2899999712"
"28","0.6099999864","0.6099999864","0.6099999864"
"29","9.1599997953","9.1599997953","9.1599997953"
"30","1.0399999768","1.0399999768","1.0399999768"
"31","8.3899998385","8.3899998385","8.3899998385"
"32","7.0399998464","7.0399998464","7.0399998464"
"33","1.1899999734","1.1899999734","1.1899999734"
"34","2.9299999345","2.9299999345","2.9299999345"
"35","10.8399997596","10.8399997596","10.8399997596"
"36","3.9499999117","3.9499999117","3.9499999117"
"37","1.4899999667","1.4899999667","1.4899999667"
"38","15.9399997108","15.9399997108","15.9399997108"
"39","22.7599995807","22.7599995807","22.7599995807"
"40","3.5399999246","3.5399999246","3.5399999246"
"41","18.5999996066","18.5999996066","18.5999996066"
"42","11.829999784","11.829999784","11.829999784"
"43","11.829999784","11.829999784","11.829999784"
"44","17.8399996422","17.8399996422","17.8399996422"
"45","11.8299997505","11.8299997505","11.8299997505"
"46","18.7599995881","18.7599995881","18.7599995881"
"47","10.0999997817","10.0999997817","10.0999997817"
"48","15.3899997938","15.3899997938","15.3899997938"
"49","4.3299999051","4.3299999051","4.3299999051"
"50","14.5899997242","14.5899997242","14.5899997242"
"51","14.8199997097","14.8199997097","14.8199997097"
"52","8.9099998269","8.9099998269","8.9099998269"
"53","14.6299997028","14.6299997028","14.6299997028"
"54","14.6299997028","14.6299997028","14.6299997028"
"55","26.8899996448","26.8899996448","26.8899996448"
"56","16.4099996705","16.4099996705","16.4099996705"
