"Step","SAC_single_critic_short_test_track_LIDAR - loss_actor","SAC_single_critic_short_test_track_LIDAR - loss_actor__MIN","SAC_single_critic_short_test_track_LIDAR - loss_actor__MAX"
"0","-14.2888969803","-14.2888969803","-14.2888969803"
"1","-14.1541816378","-14.1541816378","-14.1541816378"
"2","-13.7555056238","-13.7555056238","-13.7555056238"
"3","-13.6055869102","-13.6055869102","-13.6055869102"
"4","-13.3614757013","-13.3614757013","-13.3614757013"
"5","-13.1932257652","-13.1932257652","-13.1932257652"
"6","-13.0660361338","-13.0660361338","-13.0660361338"
"7","-12.866712079","-12.866712079","-12.866712079"
"8","-12.4044598055","-12.4044598055","-12.4044598055"
"9","-12.1842640495","-12.1842640495","-12.1842640495"
"10","-12.0035320902","-12.0035320902","-12.0035320902"
"11","-11.8162728357","-11.8162728357","-11.8162728357"
"12","-11.6681903362","-11.6681903362","-11.6681903362"
"13","-11.2411822271","-11.2411822271","-11.2411822271"
"14","-11.1140922213","-11.1140922213","-11.1140922213"
"15","-10.7737379026","-10.7737379026","-10.7737379026"
"16","-10.6787411976","-10.6787411976","-10.6787411976"
"17","-10.4757878399","-10.4757878399","-10.4757878399"
"18","-10.234418869","-10.234418869","-10.234418869"
"19","-10.1462711191","-10.1462711191","-10.1462711191"
"20","-10.0752791405","-10.0752791405","-10.0752791405"
"21","-10.0731593275","-10.0731593275","-10.0731593275"
"22","-10.0536266518","-10.0536266518","-10.0536266518"
"23","-9.8493991661","-9.8493991661","-9.8493991661"
"24","-9.8227253771","-9.8227253771","-9.8227253771"
"25","-9.7745302105","-9.7745302105","-9.7745302105"
"26","-9.7090465689","-9.7090465689","-9.7090465689"
"27","-9.4668624067","-9.4668624067","-9.4668624067"
"28","-9.4295520496","-9.4295520496","-9.4295520496"
"29","-9.404175806","-9.404175806","-9.404175806"
"30","-9.3622288418","-9.3622288418","-9.3622288418"
"31","-9.2741818047","-9.2741818047","-9.2741818047"
"32","-9.2432074165","-9.2432074165","-9.2432074165"
"33","-9.2149762702","-9.2149762702","-9.2149762702"
"34","-9.1280826187","-9.1280826187","-9.1280826187"
"35","-9.1306610537","-9.1306610537","-9.1306610537"
"36","-9.0727962732","-9.0727962732","-9.0727962732"
"37","-9.0350265861","-9.0350265861","-9.0350265861"
"38","-9.0614302635","-9.0614302635","-9.0614302635"
"39","-9.0167665648","-9.0167665648","-9.0167665648"
"40","-9.0883133793","-9.0883133793","-9.0883133793"
"41","-8.9643073988","-8.9643073988","-8.9643073988"
"42","-8.8937562203","-8.8937562203","-8.8937562203"
"43","-8.8828601003","-8.8828601003","-8.8828601003"
"44","-8.8002446318","-8.8002446318","-8.8002446318"
"45","-8.7883078241","-8.7883078241","-8.7883078241"
"46","-8.6640588331","-8.6640588331","-8.6640588331"
"47","-8.7172630477","-8.7172630477","-8.7172630477"
"48","-8.6181445932","-8.6181445932","-8.6181445932"
"49","-8.5308474255","-8.5308474255","-8.5308474255"
"50","-8.5354943013","-8.5354943013","-8.5354943013"
"51","-8.5108160496","-8.5108160496","-8.5108160496"
"52","-8.4915400434","-8.4915400434","-8.4915400434"
"53","-8.4536887574","-8.4536887574","-8.4536887574"
"54","-8.3796241331","-8.3796241331","-8.3796241331"
"55","-8.4038960123","-8.4038960123","-8.4038960123"
"56","-8.3629961586","-8.3629961586","-8.3629961586"
"57","-8.3517958021","-8.3517958021","-8.3517958021"
"58","-8.3628926277","-8.3628926277","-8.3628926277"
"59","-8.3263941145","-8.3263941145","-8.3263941145"
"60","-8.2868791175","-8.2868791175","-8.2868791175"
"61","-8.3727433705","-8.3727433705","-8.3727433705"
"62","-8.5828167367","-8.5828167367","-8.5828167367"
"63","-8.522303803","-8.522303803","-8.522303803"
"64","-8.4235910773","-8.4235910773","-8.4235910773"
"65","-8.4494515705","-8.4494515705","-8.4494515705"
"66","-8.4601659989","-8.4601659989","-8.4601659989"
"67","-8.4334039831","-8.4334039831","-8.4334039831"
"68","-8.484773252","-8.484773252","-8.484773252"
"69","-8.5346487784","-8.5346487784","-8.5346487784"
"70","-8.5866008735","-8.5866008735","-8.5866008735"
"71","-8.4518860459","-8.4518860459","-8.4518860459"
"72","-8.4795226979","-8.4795226979","-8.4795226979"
"73","-8.482311728","-8.482311728","-8.482311728"
"74","-8.4119331384","-8.4119331384","-8.4119331384"
"75","-8.4486257172","-8.4486257172","-8.4486257172"
"76","-8.5007434249","-8.5007434249","-8.5007434249"
"77","-8.5140147948","-8.5140147948","-8.5140147948"
"78","-8.5579799175","-8.5579799175","-8.5579799175"
"79","-8.4226975417","-8.4226975417","-8.4226975417"
"80","-8.4247587156","-8.4247587156","-8.4247587156"
"81","-8.5449332285","-8.5449332285","-8.5449332285"
"82","-8.5775538898","-8.5775538898","-8.5775538898"
"83","-8.5900451398","-8.5900451398","-8.5900451398"
"84","-8.6837293768","-8.6837293768","-8.6837293768"
"85","-10.9545105791","-10.9545105791","-10.9545105791"
"86","-10.9294562769","-10.9294562769","-10.9294562769"
"87","-10.9387366867","-10.9387366867","-10.9387366867"
"88","-10.8791395092","-10.8791395092","-10.8791395092"
"89","-10.8915536022","-10.8915536022","-10.8915536022"
"90","-10.913247714","-10.913247714","-10.913247714"
"91","-10.8599005175","-10.8599005175","-10.8599005175"
"92","-10.8505332136","-10.8505332136","-10.8505332136"
"93","-10.850954237","-10.850954237","-10.850954237"
"94","-10.7015384245","-10.7015384245","-10.7015384245"
"95","-10.6592270851","-10.6592270851","-10.6592270851"
"96","-10.6868966913","-10.6868966913","-10.6868966913"
"97","-10.6084484339","-10.6084484339","-10.6084484339"
"98","-10.6455025673","-10.6455025673","-10.6455025673"
"99","-10.6349781609","-10.6349781609","-10.6349781609"
"100","-10.7011596346","-10.7011596346","-10.7011596346"
"101","-10.5353257465","-10.5353257465","-10.5353257465"
"102","-10.6163332129","-10.6163332129","-10.6163332129"
"103","-10.5849477673","-10.5849477673","-10.5849477673"
"104","-10.4186283207","-10.4186283207","-10.4186283207"
"105","-10.5217210054","-10.5217210054","-10.5217210054"
"106","-10.3781525326","-10.3781525326","-10.3781525326"
"107","-10.347318778","-10.347318778","-10.347318778"
"108","-10.3443869591","-10.3443869591","-10.3443869591"
"109","-10.3659179544","-10.3659179544","-10.3659179544"
"110","-10.3284148026","-10.3284148026","-10.3284148026"
"111","-10.3656764174","-10.3656764174","-10.3656764174"
"112","-10.259983077","-10.259983077","-10.259983077"
"113","-10.0715402222","-10.0715402222","-10.0715402222"
"114","-10.0397016549","-10.0397016549","-10.0397016549"
"115","-10.0751050329","-10.0751050329","-10.0751050329"
"116","-10.0879663134","-10.0879663134","-10.0879663134"
"117","-10.0174967766","-10.0174967766","-10.0174967766"
"118","-9.9803972554","-9.9803972554","-9.9803972554"
"119","-10.044989233","-10.044989233","-10.044989233"
"120","-9.9946570444","-9.9946570444","-9.9946570444"
"121","-10.0935140038","-10.0935140038","-10.0935140038"
"122","-9.9903753662","-9.9903753662","-9.9903753662"
"123","-10.0356593609","-10.0356593609","-10.0356593609"
"124","-9.9619605207","-9.9619605207","-9.9619605207"
"125","-9.9652263975","-9.9652263975","-9.9652263975"
"126","-11.7092873859","-11.7092873859","-11.7092873859"
"127","-11.6538860273","-11.6538860273","-11.6538860273"
"128","-11.6085581303","-11.6085581303","-11.6085581303"
"129","-11.5756336784","-11.5756336784","-11.5756336784"
"130","-11.5758527565","-11.5758527565","-11.5758527565"
"131","-11.5030490112","-11.5030490112","-11.5030490112"
"132","-11.5693230772","-11.5693230772","-11.5693230772"
"133","-11.4861252928","-11.4861252928","-11.4861252928"
"134","-11.5535344982","-11.5535344982","-11.5535344982"
"135","-11.5323885822","-11.5323885822","-11.5323885822"
"136","-11.5979621315","-11.5979621315","-11.5979621315"
"137","-11.7004621792","-11.7004621792","-11.7004621792"
"138","-11.5247146749","-11.5247146749","-11.5247146749"
"139","-12.82534585","-12.82534585","-12.82534585"
"140","-12.7735163021","-12.7735163021","-12.7735163021"
"141","-12.6152875137","-12.6152875137","-12.6152875137"
"142","-12.6848264456","-12.6848264456","-12.6848264456"
"143","-12.5385664558","-12.5385664558","-12.5385664558"
"144","-12.6032123518","-12.6032123518","-12.6032123518"
"145","-12.5239476728","-12.5239476728","-12.5239476728"
"146","-12.4817521095","-12.4817521095","-12.4817521095"
"147","-12.5197385788","-12.5197385788","-12.5197385788"
"148","-12.4556439304","-12.4556439304","-12.4556439304"
"149","-12.4943811512","-12.4943811512","-12.4943811512"
"150","-12.4729525423","-12.4729525423","-12.4729525423"
"151","-12.5373008251","-12.5373008251","-12.5373008251"
"152","-12.4656154251","-12.4656154251","-12.4656154251"
"153","-12.5506037664","-12.5506037664","-12.5506037664"
"154","-12.4637580204","-12.4637580204","-12.4637580204"
"155","-13.6677547407","-13.6677547407","-13.6677547407"
"156","-13.8247714186","-13.8247714186","-13.8247714186"
"157","-13.6949935818","-13.6949935818","-13.6949935818"
"158","-13.6582292986","-13.6582292986","-13.6582292986"
"159","-13.6094337511","-13.6094337511","-13.6094337511"
"160","-13.499647994","-13.499647994","-13.499647994"
"161","-13.557927537","-13.557927537","-13.557927537"
"162","-13.395210886","-13.395210886","-13.395210886"
"163","-13.5940056038","-13.5940056038","-13.5940056038"
"164","-13.6300020409","-13.6300020409","-13.6300020409"
"165","-13.4380139017","-13.4380139017","-13.4380139017"
"166","-13.4671361542","-13.4671361542","-13.4671361542"
"167","-13.2789578056","-13.2789578056","-13.2789578056"
"168","-13.3427820253","-13.3427820253","-13.3427820253"
"169","-13.3139109755","-13.3139109755","-13.3139109755"
"170","-13.3090684414","-13.3090684414","-13.3090684414"
"171","-13.3042560673","-13.3042560673","-13.3042560673"
"172","-13.371176734","-13.371176734","-13.371176734"
"173","-13.162866168","-13.162866168","-13.162866168"
"174","-13.1965499592","-13.1965499592","-13.1965499592"
