"Step","SAC_single_critic_short_test_track_LIDAR - loss_critic","SAC_single_critic_short_test_track_LIDAR - loss_critic__MIN","SAC_single_critic_short_test_track_LIDAR - loss_critic__MAX"
"0","6.9408115703","6.9408115703","6.9408115703"
"1","3.9126602238","3.9126602238","3.9126602238"
"2","3.1722591642","3.1722591642","3.1722591642"
"3","9.2762563321","9.2762563321","9.2762563321"
"4","9.8109891403","9.8109891403","9.8109891403"
"5","8.121665161","8.121665161","8.121665161"
"6","8.820366253","8.820366253","8.820366253"
"7","8.0387868242","8.0387868242","8.0387868242"
"8","6.9086495534","6.9086495534","6.9086495534"
"9","5.8782997948","5.8782997948","5.8782997948"
"10","5.2534978563","5.2534978563","5.2534978563"
"11","5.3460993695","5.3460993695","5.3460993695"
"12","5.6297440526","5.6297440526","5.6297440526"
"13","3.8066327548","3.8066327548","3.8066327548"
"14","3.495882374","3.495882374","3.495882374"
"15","3.723792116","3.723792116","3.723792116"
"16","4.3255034471","4.3255034471","4.3255034471"
"17","3.82617551","3.82617551","3.82617551"
"18","4.4751256269","4.4751256269","4.4751256269"
"19","3.3033443862","3.3033443862","3.3033443862"
"20","3.9633914477","3.9633914477","3.9633914477"
"21","3.5149007651","3.5149007651","3.5149007651"
"22","3.4302814509","3.4302814509","3.4302814509"
"23","3.0063461399","3.0063461399","3.0063461399"
"24","2.9512316307","2.9512316307","2.9512316307"
"25","3.6059570256","3.6059570256","3.6059570256"
"26","3.3526735994","3.3526735994","3.3526735994"
"27","3.7655340984","3.7655340984","3.7655340984"
"28","3.3228812438","3.3228812438","3.3228812438"
"29","3.2849782422","3.2849782422","3.2849782422"
"30","3.0756523857","3.0756523857","3.0756523857"
"31","3.0773457578","3.0773457578","3.0773457578"
"32","2.4024749807","2.4024749807","2.4024749807"
"33","2.5775468139","2.5775468139","2.5775468139"
"34","2.2583141237","2.2583141237","2.2583141237"
"35","2.5965142328","2.5965142328","2.5965142328"
"36","2.5866022053","2.5866022053","2.5866022053"
"37","2.7790642136","2.7790642136","2.7790642136"
"38","2.3281684151","2.3281684151","2.3281684151"
"39","2.151409813","2.151409813","2.151409813"
"40","2.0832025239","2.0832025239","2.0832025239"
"41","2.0431009741","2.0431009741","2.0431009741"
"42","2.106289929","2.106289929","2.106289929"
"43","1.7916616198","1.7916616198","1.7916616198"
"44","1.7757499743","1.7757499743","1.7757499743"
"45","1.3964128944","1.3964128944","1.3964128944"
"46","1.6747807454","1.6747807454","1.6747807454"
"47","1.746442802","1.746442802","1.746442802"
"48","1.4839094403","1.4839094403","1.4839094403"
"49","1.4951357734","1.4951357734","1.4951357734"
"50","1.4174808587","1.4174808587","1.4174808587"
"51","1.3348875418","1.3348875418","1.3348875418"
"52","1.437534142","1.437534142","1.437534142"
"53","1.6375434026","1.6375434026","1.6375434026"
"54","1.3556850988","1.3556850988","1.3556850988"
"55","1.146968032","1.146968032","1.146968032"
"56","1.2134400217","1.2134400217","1.2134400217"
"57","1.1761906251","1.1761906251","1.1761906251"
"58","1.1341917963","1.1341917963","1.1341917963"
"59","1.0572736119","1.0572736119","1.0572736119"
"60","1.1139247626","1.1139247626","1.1139247626"
"61","1.1179629692","1.1179629692","1.1179629692"
"62","1.1009459497","1.1009459497","1.1009459497"
"63","0.9215915261","0.9215915261","0.9215915261"
"64","1.001114735","1.001114735","1.001114735"
"65","0.853418614","0.853418614","0.853418614"
"66","0.8901749274","0.8901749274","0.8901749274"
"67","0.8153800539","0.8153800539","0.8153800539"
"68","0.9077068129","0.9077068129","0.9077068129"
"69","0.8748979145","0.8748979145","0.8748979145"
"70","0.8888769506","0.8888769506","0.8888769506"
"71","0.7605365379","0.7605365379","0.7605365379"
"72","0.7905604401","0.7905604401","0.7905604401"
"73","0.70459527","0.70459527","0.70459527"
"74","0.6762812425","0.6762812425","0.6762812425"
"75","0.6618596905","0.6618596905","0.6618596905"
"76","0.7563892603","0.7563892603","0.7563892603"
"77","0.6807665195","0.6807665195","0.6807665195"
"78","0.6496195571","0.6496195571","0.6496195571"
"79","0.6474448037","0.6474448037","0.6474448037"
"80","0.5650885326","0.5650885326","0.5650885326"
"81","0.6097496233","0.6097496233","0.6097496233"
"82","0.6270227195","0.6270227195","0.6270227195"
"83","0.6092998756","0.6092998756","0.6092998756"
"84","0.6490547975","0.6490547975","0.6490547975"
"85","1.6258423893","1.6258423893","1.6258423893"
"86","1.4352212991","1.4352212991","1.4352212991"
"87","2.3582887164","2.3582887164","2.3582887164"
"88","2.0435765064","2.0435765064","2.0435765064"
"89","1.8330796422","1.8330796422","1.8330796422"
"90","2.1344366269","2.1344366269","2.1344366269"
"91","1.7041421767","1.7041421767","1.7041421767"
"92","1.7435559408","1.7435559408","1.7435559408"
"93","1.7048356128","1.7048356128","1.7048356128"
"94","1.5174668384","1.5174668384","1.5174668384"
"95","1.6254782048","1.6254782048","1.6254782048"
"96","2.3649323428","2.3649323428","2.3649323428"
"97","1.8130176184","1.8130176184","1.8130176184"
"98","1.5562035254","1.5562035254","1.5562035254"
"99","1.9419514012","1.9419514012","1.9419514012"
"100","1.4178051308","1.4178051308","1.4178051308"
"101","1.6591853431","1.6591853431","1.6591853431"
"102","1.4539592674","1.4539592674","1.4539592674"
"103","1.7439175591","1.7439175591","1.7439175591"
"104","1.4885023965","1.4885023965","1.4885023965"
"105","1.4570418367","1.4570418367","1.4570418367"
"106","1.5545391041","1.5545391041","1.5545391041"
"107","1.422460957","1.422460957","1.422460957"
"108","1.5268667978","1.5268667978","1.5268667978"
"109","1.5413146435","1.5413146435","1.5413146435"
"110","1.5245761186","1.5245761186","1.5245761186"
"111","1.5032424879","1.5032424879","1.5032424879"
"112","1.7738646358","1.7738646358","1.7738646358"
"113","1.3694738138","1.3694738138","1.3694738138"
"114","1.3322636817","1.3322636817","1.3322636817"
"115","1.3742462561","1.3742462561","1.3742462561"
"116","1.3092159444","1.3092159444","1.3092159444"
"117","1.2699953634","1.2699953634","1.2699953634"
"118","1.1833119185","1.1833119185","1.1833119185"
"119","1.2366256276","1.2366256276","1.2366256276"
"120","1.0958376215","1.0958376215","1.0958376215"
"121","1.2682260576","1.2682260576","1.2682260576"
"122","1.0694964531","1.0694964531","1.0694964531"
"123","1.2769877292","1.2769877292","1.2769877292"
"124","1.127661792","1.127661792","1.127661792"
"125","1.2046784243","1.2046784243","1.2046784243"
"126","1.2982184815","1.2982184815","1.2982184815"
"127","1.3852773291","1.3852773291","1.3852773291"
"128","1.6819722605","1.6819722605","1.6819722605"
"129","1.5827532624","1.5827532624","1.5827532624"
"130","1.6140636796","1.6140636796","1.6140636796"
"131","1.7455927441","1.7455927441","1.7455927441"
"132","1.4756389883","1.4756389883","1.4756389883"
"133","1.5332221475","1.5332221475","1.5332221475"
"134","1.690088004","1.690088004","1.690088004"
"135","1.5186955474","1.5186955474","1.5186955474"
"136","1.3060827483","1.3060827483","1.3060827483"
"137","1.5708564648","1.5708564648","1.5708564648"
"138","1.5036370204","1.5036370204","1.5036370204"
"139","1.6279472488","1.6279472488","1.6279472488"
"140","1.6587110582","1.6587110582","1.6587110582"
"141","2.1113079205","2.1113079205","2.1113079205"
"142","1.5367960602","1.5367960602","1.5367960602"
"143","1.8541374779","1.8541374779","1.8541374779"
"144","1.8224923326","1.8224923326","1.8224923326"
"145","1.5455435398","1.5455435398","1.5455435398"
"146","1.5456927475","1.5456927475","1.5456927475"
"147","1.7563951802","1.7563951802","1.7563951802"
"148","1.7728508756","1.7728508756","1.7728508756"
"149","1.7648080128","1.7648080128","1.7648080128"
"150","1.50316908","1.50316908","1.50316908"
"151","1.5515769827","1.5515769827","1.5515769827"
"152","1.4347275513","1.4347275513","1.4347275513"
"153","1.7267438012","1.7267438012","1.7267438012"
"154","1.5502111915","1.5502111915","1.5502111915"
"155","1.6291940308","1.6291940308","1.6291940308"
"156","1.5523381352","1.5523381352","1.5523381352"
"157","1.7062663391","1.7062663391","1.7062663391"
"158","1.7699294601","1.7699294601","1.7699294601"
"159","1.8214191452","1.8214191452","1.8214191452"
"160","1.5494235858","1.5494235858","1.5494235858"
"161","1.8144891357","1.8144891357","1.8144891357"
"162","1.5662289295","1.5662289295","1.5662289295"
"163","1.7485380408","1.7485380408","1.7485380408"
"164","1.7934342439","1.7934342439","1.7934342439"
"165","1.5735320657","1.5735320657","1.5735320657"
