"Step","SAC_single_critic_short_test_track_LIDAR - return_train","SAC_single_critic_short_test_track_LIDAR - return_train__MIN","SAC_single_critic_short_test_track_LIDAR - return_train__MAX"
"0","148.289999919","148.289999919","148.289999919"
"1","148.289999919","148.289999919","148.289999919"
"2","148.289999919","148.289999919","148.289999919"
"3","6.5099999607","6.5099999607","6.5099999607"
"4","0.3499999922","0.3499999922","0.3499999922"
"5","0.3499999922","0.3499999922","0.3499999922"
"6","0.3499999922","0.3499999922","0.3499999922"
"7","0.3499999922","0.3499999922","0.3499999922"
"8","3.0199999325","3.0199999325","3.0199999325"
"9","3.0199999325","3.0199999325","3.0199999325"
"10","3.0199999325","3.0199999325","3.0199999325"
"11","3.0199999325","3.0199999325","3.0199999325"
"12","3.0199999325","3.0199999325","3.0199999325"
"13","7.7499998417","7.7499998417","7.7499998417"
"14","7.7499998417","7.7499998417","7.7499998417"
"15","1.6899999622","1.6899999622","1.6899999622"
"16","1.6899999622","1.6899999622","1.6899999622"
"17","1.6899999622","1.6899999622","1.6899999622"
"18","3.7399999499","3.7399999499","3.7399999499"
"19","3.7399999499","3.7399999499","3.7399999499"
"20","2.059999954","2.059999954","2.059999954"
"21","2.059999954","2.059999954","2.059999954"
"22","2.059999954","2.059999954","2.059999954"
"23","3.2999999356","3.2999999356","3.2999999356"
"24","3.2999999356","3.2999999356","3.2999999356"
"25","3.2999999356","3.2999999356","3.2999999356"
"26","3.2999999356","3.2999999356","3.2999999356"
"27","2.2399999499","2.2399999499","2.2399999499"
"28","2.2399999499","2.2399999499","2.2399999499"
"29","2.2399999499","2.2399999499","2.2399999499"
"30","2.2399999499","2.2399999499","2.2399999499"
"31","2.2399999499","2.2399999499","2.2399999499"
"32","2.2399999499","2.2399999499","2.2399999499"
"33","9.6899998449","9.6899998449","9.6899998449"
"34","9.6899998449","9.6899998449","9.6899998449"
"35","1.7699999642","1.7699999642","1.7699999642"
"36","1.7699999642","1.7699999642","1.7699999642"
"37","2.78999996","2.78999996","2.78999996"
"38","2.78999996","2.78999996","2.78999996"
"39","2.78999996","2.78999996","2.78999996"
"40","3.4999999329","3.4999999329","3.4999999329"
"41","3.4999999329","3.4999999329","3.4999999329"
"42","2.559999967","2.559999967","2.559999967"
"43","2.559999967","2.559999967","2.559999967"
"44","1.1099999752","1.1099999752","1.1099999752"
"45","1.1099999752","1.1099999752","1.1099999752"
"46","1.1599999778","1.1599999778","1.1599999778"
"47","1.1599999778","1.1599999778","1.1599999778"
"48","1.5199999791","1.5199999791","1.5199999791"
"49","1.209999973","1.209999973","1.209999973"
"50","1.209999973","1.209999973","1.209999973"
"51","1.2499999721","1.2499999721","1.2499999721"
"52","1.2499999721","1.2499999721","1.2499999721"
"53","1.7199999709","1.7199999709","1.7199999709"
"54","1.7199999709","1.7199999709","1.7199999709"
