"Step","SAC_single_critic_short_test_track_pixel - loss_actor","SAC_single_critic_short_test_track_pixel - loss_actor__MIN","SAC_single_critic_short_test_track_pixel - loss_actor__MAX"
"0","-0.042256793","-0.042256793","-0.042256793"
"1","-0.0774219853","-0.0774219853","-0.0774219853"
"2","-0.1105000921","-0.1105000921","-0.1105000921"
"3","-0.1458926253","-0.1458926253","-0.1458926253"
"4","-0.1815955912","-0.1815955912","-0.1815955912"
"5","-0.2165698573","-0.2165698573","-0.2165698573"
"6","-0.2536808183","-0.2536808183","-0.2536808183"
"7","-0.2891496058","-0.2891496058","-0.2891496058"
"8","-0.3249977975","-0.3249977975","-0.3249977975"
"9","-0.3604263143","-0.3604263143","-0.3604263143"
"10","-0.395396433","-0.395396433","-0.395396433"
"11","-0.4291659597","-0.4291659597","-0.4291659597"
"12","-0.4617525622","-0.4617525622","-0.4617525622"
"13","-0.4957842533","-0.4957842533","-0.4957842533"
"14","-0.5328282961","-0.5328282961","-0.5328282961"
"15","-0.5655198207","-0.5655198207","-0.5655198207"
"16","-0.601855621","-0.601855621","-0.601855621"
"17","-0.6338032675","-0.6338032675","-0.6338032675"
"18","-0.6665310529","-0.6665310529","-0.6665310529"
"19","-0.6991969559","-0.6991969559","-0.6991969559"
"20","-0.734128719","-0.734128719","-0.734128719"
"21","-0.7691826537","-0.7691826537","-0.7691826537"
"22","-0.8004279998","-0.8004279998","-0.8004279998"
"23","-0.8356666037","-0.8356666037","-0.8356666037"
"24","-0.8687594005","-0.8687594005","-0.8687594005"
"25","-0.9022598439","-0.9022598439","-0.9022598439"
"26","-0.9350229654","-0.9350229654","-0.9350229654"
"27","-0.9580746335","-0.9580746335","-0.9580746335"
"28","-0.9924603072","-0.9924603072","-0.9924603072"
"29","-1.022082091","-1.022082091","-1.022082091"
"30","-1.0589720085","-1.0589720085","-1.0589720085"
"31","-1.0902158797","-1.0902158797","-1.0902158797"
"32","-1.124784025","-1.124784025","-1.124784025"
"33","-1.1491174704","-1.1491174704","-1.1491174704"
"34","-1.1774539143","-1.1774539143","-1.1774539143"
"35","-1.2049387538","-1.2049387538","-1.2049387538"
"36","-1.2367692363","-1.2367692363","-1.2367692363"
"37","-1.267740407","-1.267740407","-1.267740407"
"38","-1.2945118576","-1.2945118576","-1.2945118576"
"39","-1.3263595754","-1.3263595754","-1.3263595754"
"40","-1.3628219676","-1.3628219676","-1.3628219676"
"41","-1.3923252106","-1.3923252106","-1.3923252106"
"42","-1.4281755096","-1.4281755096","-1.4281755096"
"43","-1.4582615685","-1.4582615685","-1.4582615685"
"44","-1.4878788561","-1.4878788561","-1.4878788561"
"45","-1.5205438387","-1.5205438387","-1.5205438387"
"46","-1.5528848314","-1.5528848314","-1.5528848314"
"47","-1.5816574681","-1.5816574681","-1.5816574681"
"48","-1.6127705085","-1.6127705085","-1.6127705085"
"49","-1.6417665732","-1.6417665732","-1.6417665732"
"50","-1.6690443754","-1.6690443754","-1.6690443754"
"51","-1.7003110015","-1.7003110015","-1.7003110015"
"52","-1.7260533679","-1.7260533679","-1.7260533679"
"53","-1.7624916941","-1.7624916941","-1.7624916941"
"54","-1.793407464","-1.793407464","-1.793407464"
"55","-1.824164108","-1.824164108","-1.824164108"
"56","-1.8494422418","-1.8494422418","-1.8494422418"
"57","-1.8790968227","-1.8790968227","-1.8790968227"
"58","-1.9127551407","-1.9127551407","-1.9127551407"
"59","-1.9330486625","-1.9330486625","-1.9330486625"
"60","-1.9656546432","-1.9656546432","-1.9656546432"
"61","-1.9967397332","-1.9967397332","-1.9967397332"
"62","-2.0265628952","-2.0265628952","-2.0265628952"
"63","-2.0517197353","-2.0517197353","-2.0517197353"
"64","-2.0818396479","-2.0818396479","-2.0818396479"
"65","-2.1022485548","-2.1022485548","-2.1022485548"
"66","-2.1348406291","-2.1348406291","-2.1348406291"
"67","-2.1605360019","-2.1605360019","-2.1605360019"
"68","-2.1931752312","-2.1931752312","-2.1931752312"
"69","-2.2138276708","-2.2138276708","-2.2138276708"
"70","-2.2414172709","-2.2414172709","-2.2414172709"
"71","-2.270760529","-2.270760529","-2.270760529"
"72","-2.2959648705","-2.2959648705","-2.2959648705"
"73","-2.3238563263","-2.3238563263","-2.3238563263"
"74","-2.3528802955","-2.3528802955","-2.3528802955"
"75","-2.3764411902","-2.3764411902","-2.3764411902"
"76","-2.4005657578","-2.4005657578","-2.4005657578"
"77","-2.426653496","-2.426653496","-2.426653496"
"78","-2.454709394","-2.454709394","-2.454709394"
"79","-2.480840466","-2.480840466","-2.480840466"
"80","-2.4997209918","-2.4997209918","-2.4997209918"
"81","-2.5286865079","-2.5286865079","-2.5286865079"
"82","-2.5549706006","-2.5549706006","-2.5549706006"
"83","-2.5681888235","-2.5681888235","-2.5681888235"
"84","-2.5934075522","-2.5934075522","-2.5934075522"
"85","-2.6210695255","-2.6210695255","-2.6210695255"
"86","-2.6395087874","-2.6395087874","-2.6395087874"
"87","-2.6582133818","-2.6582133818","-2.6582133818"
"88","-2.6811816204","-2.6811816204","-2.6811816204"
