"Step","SAC_single_critic_short_test_track_pixel - return_train","SAC_single_critic_short_test_track_pixel - return_train__MIN","SAC_single_critic_short_test_track_pixel - return_train__MAX"
"0","3.1199999303","3.1199999303","3.1199999303"
"1","3.1199999303","3.1199999303","3.1199999303"
"2","0.8999999799","0.8999999799","0.8999999799"
"3","0.2999999933","0.2999999933","0.2999999933"
"4","0.0199999996","0.0199999996","0.0199999996"
"5","0.0299999993","0.0299999993","0.0299999993"
"6","0.669999985","0.669999985","0.669999985"
"7","0","0","0"
"8","0.6399999857","0.6399999857","0.6399999857"
"9","0.2599999942","0.2599999942","0.2599999942"
"10","0","0","0"
"11","1.0799999759","1.0799999759","1.0799999759"
"12","0.0199999996","0.0199999996","0.0199999996"
"13","0.3299999926","0.3299999926","0.3299999926"
"14","0.6799999848","0.6799999848","0.6799999848"
"15","1.1699999738","1.1699999738","1.1699999738"
"16","1.519999966","1.519999966","1.519999966"
"17","0.6399999857","0.6399999857","0.6399999857"
"18","0.3099999931","0.3099999931","0.3099999931"
"19","0.0299999993","0.0299999993","0.0299999993"
"20","5.0599998906","5.0599998906","5.0599998906"
"21","5.0599998906","5.0599998906","5.0599998906"
"22","6.8299998473","6.8299998473","6.8299998473"
"23","0.7899999823","0.7899999823","0.7899999823"
"24","2.0899999533","2.0899999533","2.0899999533"
"25","3.5299999211","3.5299999211","3.5299999211"
"26","2.4399999455","2.4399999455","2.4399999455"
"27","5.3099999018","5.3099999018","5.3099999018"
"28","1.1399999745","1.1399999745","1.1399999745"
"29","0.5899999868","0.5899999868","0.5899999868"
"30","8.1899998244","8.1899998244","8.1899998244"
"31","2.2999999486","2.2999999486","2.2999999486"
"32","4.6699998956","4.6699998956","4.6699998956"
"33","10.1099998113","10.1099998113","10.1099998113"
"34","10.1099998113","10.1099998113","10.1099998113"
"35","15.7499996573","15.7499996573","15.7499996573"
"36","0.1699999962","0.1699999962","0.1699999962"
"37","0.1699999962","0.1699999962","0.1699999962"
