"Step","SAC_short_test_track - loss_critic","SAC_short_test_track - loss_critic__MIN","SAC_short_test_track - loss_critic__MAX"
"0","0.0005044042","0.0005044042","0.0005044042"
"1","0.0003436285","0.0003436285","0.0003436285"
"2","0.0003949004","0.0003949004","0.0003949004"
"3","0.0005032559","0.0005032559","0.0005032559"
"4","0.0006310638","0.0006310638","0.0006310638"
"5","0.0006644096","0.0006644096","0.0006644096"
"6","0.0007566394","0.0007566394","0.0007566394"
"7","0.00080925","0.00080925","0.00080925"
"8","0.0009357503","0.0009357503","0.0009357503"
"9","0.0010998617","0.0010998617","0.0010998617"
"10","0.0013757753","0.0013757753","0.0013757753"
"11","0.0013559896","0.0013559896","0.0013559896"
"12","0.0015579548","0.0015579548","0.0015579548"
"13","0.0014545188","0.0014545188","0.0014545188"
"14","0.0017683988","0.0017683988","0.0017683988"
"15","0.0022013918","0.0022013918","0.0022013918"
"16","0.0021827848","0.0021827848","0.0021827848"
"17","0.002629564","0.002629564","0.002629564"
"18","0.0027101977","0.0027101977","0.0027101977"
"19","0.0028253146","0.0028253146","0.0028253146"
"20","0.0033228474","0.0033228474","0.0033228474"
"21","0.0033860375","0.0033860375","0.0033860375"
"22","0.0039802692","0.0039802692","0.0039802692"
"23","0.0043091271","0.0043091271","0.0043091271"
"24","0.0045094585","0.0045094585","0.0045094585"
"25","0.0050807109","0.0050807109","0.0050807109"
"26","0.0050946905","0.0050946905","0.0050946905"
"27","0.005358312","0.005358312","0.005358312"
"28","0.0059477621","0.0059477621","0.0059477621"
"29","0.0062302739","0.0062302739","0.0062302739"
"30","0.005985874","0.005985874","0.005985874"
"31","0.0074761952","0.0074761952","0.0074761952"
"32","0.006565959","0.006565959","0.006565959"
"33","0.0065136898","0.0065136898","0.0065136898"
"34","0.0072786817","0.0072786817","0.0072786817"
"35","0.0073532921","0.0073532921","0.0073532921"
"36","0.00724327","0.00724327","0.00724327"
"37","0.0074289751","0.0074289751","0.0074289751"
"38","0.0076611917","0.0076611917","0.0076611917"
"39","0.0080450758","0.0080450758","0.0080450758"
"40","0.008048096","0.008048096","0.008048096"
"41","0.0080386378","0.0080386378","0.0080386378"
"42","0.0075961253","0.0075961253","0.0075961253"
"43","0.0075246114","0.0075246114","0.0075246114"
"44","0.0079004861","0.0079004861","0.0079004861"
"45","0.0078488991","0.0078488991","0.0078488991"
"46","0.0082486668","0.0082486668","0.0082486668"
"47","0.0076398475","0.0076398475","0.0076398475"
"48","0.0079242732","0.0079242732","0.0079242732"
