"Step","SAC_Double_critic_lidar - loss_actor","SAC_Double_critic_lidar - loss_actor__MIN","SAC_Double_critic_lidar - loss_actor__MAX"
"0","7.2137853718","7.2137853718","7.2137853718"
"1","6.818146801","6.818146801","6.818146801"
"2","6.9990800142","6.9990800142","6.9990800142"
"3","7.1610602617","7.1610602617","7.1610602617"
"4","7.4159057307","7.4159057307","7.4159057307"
"5","7.6695881748","7.6695881748","7.6695881748"
"6","7.8671008492","7.8671008492","7.8671008492"
"7","7.9845281243","7.9845281243","7.9845281243"
"8","7.9683548665","7.9683548665","7.9683548665"
"9","8.6342738414","8.6342738414","8.6342738414"
"10","8.6418873882","8.6418873882","8.6418873882"
"11","8.960382247","8.960382247","8.960382247"
"12","8.9718404913","8.9718404913","8.9718404913"
"13","9.2091236687","9.2091236687","9.2091236687"
"14","9.2530190468","9.2530190468","9.2530190468"
"15","9.2314627075","9.2314627075","9.2314627075"
"16","9.3178027582","9.3178027582","9.3178027582"
"17","9.2989070177","9.2989070177","9.2989070177"
"18","9.2219016552","9.2219016552","9.2219016552"
"19","9.2476464796","9.2476464796","9.2476464796"
"20","9.3102336025","9.3102336025","9.3102336025"
"21","9.578900156","9.578900156","9.578900156"
"22","9.579976778","9.579976778","9.579976778"
"23","9.6493185282","9.6493185282","9.6493185282"
"24","9.7838134813","9.7838134813","9.7838134813"
"25","9.8415941715","9.8415941715","9.8415941715"
"26","10.1215854502","10.1215854502","10.1215854502"
"27","10.1460163784","10.1460163784","10.1460163784"
"28","10.2665201902","10.2665201902","10.2665201902"
"29","10.2759792328","10.2759792328","10.2759792328"
"30","10.3719689369","10.3719689369","10.3719689369"
"31","10.4088587236","10.4088587236","10.4088587236"
"32","10.4000366974","10.4000366974","10.4000366974"
"33","10.6981232929","10.6981232929","10.6981232929"
"34","10.7051505947","10.7051505947","10.7051505947"
"35","10.7395768833","10.7395768833","10.7395768833"
"36","10.7039964533","10.7039964533","10.7039964533"
"37","10.6125761747","10.6125761747","10.6125761747"
"38","10.5300477743","10.5300477743","10.5300477743"
"39","10.4943659925","10.4943659925","10.4943659925"
"40","10.4192080021","10.4192080021","10.4192080021"
"41","10.2956399918","10.2956399918","10.2956399918"
"42","10.1350560236","10.1350560236","10.1350560236"
"43","10.1738699627","10.1738699627","10.1738699627"
"44","10.0475049353","10.0475049353","10.0475049353"
"45","9.959577527","9.959577527","9.959577527"
"46","9.811235652","9.811235652","9.811235652"
"47","9.8004419756","9.8004419756","9.8004419756"
"48","9.677310977","9.677310977","9.677310977"
"49","9.6248609209","9.6248609209","9.6248609209"
"50","9.5872793865","9.5872793865","9.5872793865"
"51","9.5345157862","9.5345157862","9.5345157862"
"52","9.4601861143","9.4601861143","9.4601861143"
"53","9.4159939814","9.4159939814","9.4159939814"
"54","9.3730924892","9.3730924892","9.3730924892"
"55","9.3169747925","9.3169747925","9.3169747925"
"56","9.2597606182","9.2597606182","9.2597606182"
"57","9.146410265","9.146410265","9.146410265"
"58","9.0837828827","9.0837828827","9.0837828827"
"59","9.0582557917","9.0582557917","9.0582557917"
"60","8.986078124","8.986078124","8.986078124"
"61","8.9134728193","8.9134728193","8.9134728193"
"62","8.8450708389","8.8450708389","8.8450708389"
"63","8.8012712812","8.8012712812","8.8012712812"
"64","8.7510292816","8.7510292816","8.7510292816"
"65","8.7085182858","8.7085182858","8.7085182858"
"66","8.6590850306","8.6590850306","8.6590850306"
"67","8.5824789667","8.5824789667","8.5824789667"
"68","8.5231780076","8.5231780076","8.5231780076"
"69","8.50744766","8.50744766","8.50744766"
"70","8.463325994","8.463325994","8.463325994"
"71","8.4147185278","8.4147185278","8.4147185278"
"72","8.3746539545","8.3746539545","8.3746539545"
"73","8.3517605686","8.3517605686","8.3517605686"
"74","8.2964928889","8.2964928889","8.2964928889"
"75","8.1658319092","8.1658319092","8.1658319092"
"76","8.1485999393","8.1485999393","8.1485999393"
"77","8.1047730017","8.1047730017","8.1047730017"
"78","8.0370796967","8.0370796967","8.0370796967"
"79","7.9826966858","7.9826966858","7.9826966858"
"80","7.927836194","7.927836194","7.927836194"
"81","7.8711053085","7.8711053085","7.8711053085"
"82","7.802229836","7.802229836","7.802229836"
"83","7.7336005306","7.7336005306","7.7336005306"
"84","7.675540278","7.675540278","7.675540278"
"85","7.6619485545","7.6619485545","7.6619485545"
"86","7.547718401","7.547718401","7.547718401"
"87","7.5285757685","7.5285757685","7.5285757685"
"88","7.445704174","7.445704174","7.445704174"
"89","7.4219686437","7.4219686437","7.4219686437"
"90","7.3510020137","7.3510020137","7.3510020137"
"91","7.2799105072","7.2799105072","7.2799105072"
"92","7.2197693205","7.2197693205","7.2197693205"
"93","7.1797441959","7.1797441959","7.1797441959"
"94","7.0808867502","7.0808867502","7.0808867502"
"95","6.9966706586","6.9966706586","6.9966706586"
"96","6.9780438805","6.9780438805","6.9780438805"
"97","6.9007573605","6.9007573605","6.9007573605"
"98","6.8542525816","6.8542525816","6.8542525816"
"99","6.808465457","6.808465457","6.808465457"
"100","6.7367675304","6.7367675304","6.7367675304"
"101","6.6726042771","6.6726042771","6.6726042771"
"102","6.633208189","6.633208189","6.633208189"
"103","6.5624642372","6.5624642372","6.5624642372"
"104","6.5094125772","6.5094125772","6.5094125772"
"105","6.4137416983","6.4137416983","6.4137416983"
"106","6.3799015069","6.3799015069","6.3799015069"
"107","6.3192797041","6.3192797041","6.3192797041"
"108","6.2731390977","6.2731390977","6.2731390977"
"109","6.1953953576","6.1953953576","6.1953953576"
"110","6.1472809577","6.1472809577","6.1472809577"
"111","6.0975737572","6.0975737572","6.0975737572"
"112","5.9947011638","5.9947011638","5.9947011638"
"113","5.936761508","5.936761508","5.936761508"
"114","5.8668356204","5.8668356204","5.8668356204"
"115","5.8019261289","5.8019261289","5.8019261289"
"116","5.7448374462","5.7448374462","5.7448374462"
"117","5.6894579816","5.6894579816","5.6894579816"
"118","5.5980404687","5.5980404687","5.5980404687"
"119","5.5674637508","5.5674637508","5.5674637508"
"120","5.4817440295","5.4817440295","5.4817440295"
"121","5.4249642754","5.4249642754","5.4249642754"
"122","5.3573998594","5.3573998594","5.3573998594"
"123","5.2914396024","5.2914396024","5.2914396024"
"124","5.2261732459","5.2261732459","5.2261732459"
"125","5.1572427654","5.1572427654","5.1572427654"
"126","5.1052236819","5.1052236819","5.1052236819"
"127","5.0424005055","5.0424005055","5.0424005055"
"128","4.9832631159","4.9832631159","4.9832631159"
"129","4.9150632","4.9150632","4.9150632"
"130","4.8622796607","4.8622796607","4.8622796607"
"131","4.8127565885","4.8127565885","4.8127565885"
"132","4.7607314992","4.7607314992","4.7607314992"
"133","4.7034160137","4.7034160137","4.7034160137"
"134","4.6491885614","4.6491885614","4.6491885614"
"135","4.5953918219","4.5953918219","4.5953918219"
"136","4.5228207541","4.5228207541","4.5228207541"
"137","4.4687030315","4.4687030315","4.4687030315"
"138","4.4327330112","4.4327330112","4.4327330112"
"139","4.3878667831","4.3878667831","4.3878667831"
"140","4.3175941539","4.3175941539","4.3175941539"
"141","4.277689811","4.277689811","4.277689811"
